strength,structure,background,target,type,avg_likert_rating,potential_match_scenarios,num_potential_matches
mild,coc,Alejandro has the opportunity to upgrade a microwave to a more efficient model.,"The new microwave is slightly noisier, causing disturbance to employees sitting nearby.",harm,3.15,"{1: 'Alejandro, an Engineer, faces a moral dilemma. Alejandro has the opportunity to upgrade a microwave to a more efficient model. The new microwave is more environmentally friendly. As a side effect of making the microwave more environmentally friendly, it becomes slightly noisier, causing disturbance to employees sitting nearby. If Alejandro does not upgrade the microwave, the noise disturbance would not happen. Alejandro upgrades the microwave to a more efficient model.', 151: 'Alejandro, an Engineer, faces a moral dilemma. Alejandro has the opportunity to upgrade a microwave to a more efficient model. The new microwave is more environmentally friendly. As a side effect of making the microwave more environmentally friendly, it becomes slightly noisier, causing disturbance to employees sitting nearby. If Alejandro does not upgrade the microwave, the noise disturbance would still happen because a change in office building regulations requires the replacement of old appliances with more energy-efficient models. Alejandro upgrades the microwave to a more efficient model.'}",2
severe,coc,Amina has the opportunity to open a high-end restaurant in a low-income neighborhood.,"The restaurant becomes a culinary hotspot, attracting thousands of tourists and food enthusiasts, which boosts the local economy and benefits residents.",good,6.05,"{4: 'Amina, a Chef, faces a moral dilemma. Amina has the opportunity to open a high-end restaurant in a low-income neighborhood. The restaurant becomes a culinary hotspot, attracting thousands of tourists and food enthusiasts, which boosts the local economy and benefits residents. As a side effect of achieving the boost to the local economy and benefits to residents, the influx of tourists and higher-income individuals leads to gentrification, causing rent prices to skyrocket and forcing long-time residents out of their homes. If Amina does not open the high-end restaurant, the gentrification and displacement of long-time residents would not happen. Amina opens the high-end restaurant.', 34: 'Amina, a Chef, faces a moral dilemma. Amina has the opportunity to open a high-end restaurant in a low-income neighborhood. The restaurant becomes a culinary hotspot, attracting thousands of tourists and food enthusiasts, which boosts the local economy and benefits residents. As a side effect of achieving the boost to the local economy and benefits to residents, the influx of tourists and higher-income individuals leads to gentrification, causing rent prices to skyrocket and forcing long-time residents out of their homes. If Amina does not open the high-end restaurant, the gentrification and displacement of long-time residents would still happen because a large corporation is planning to build a shopping mall in the same neighborhood. Amina opens the high-end restaurant.'}",2
mild,coc,Amir has the opportunity to introduce an online homework submission system in his class.,The online system streamlines the submission process for some assignments.,good,5.45,"{2: 'Amir, a Teacher, faces a moral dilemma. Amir has the opportunity to introduce an online homework submission system in his class. The online system streamlines the submission process for some assignments. As a side effect of streamlining the submission process for some assignments, some students who are less tech-savvy experience initial confusion and anxiety adapting to the new system. If Amir does not introduce the online homework submission system, the confusion and anxiety of some students would not happen. Amir introduces the online homework submission system.', 152: 'Amir, a Teacher, faces a moral dilemma. Amir has the opportunity to introduce an online homework submission system in his class. The online system streamlines the submission process for some assignments. As a side effect of streamlining the submission process for some assignments, some students who are less tech-savvy experience initial confusion and anxiety adapting to the new system. If Amir does not introduce the online homework submission system, the confusion and anxiety of some students would still happen because of a school-wide policy mandating online homework submissions. Amir introduces the online homework submission system.'}",2
mild,coc,Maya has the opportunity to implement a new bike lane system throughout the city.,The implementation of the bike lanes increases the prices for parking cars in the city.,harm,3.85,"{0: 'Maya, an Architect, faces a moral dilemma. Maya has the opportunity to implement a new bike lane system throughout the city. The new bike lane system encourages residents to cycle more. As a side effect of encouraging residents to cycle more, the implementation of the bike lanes increases the prices for parking cars in the city. If Maya does not implement the bike lane system, the increase in parking prices would not happen. Maya implements the new bike lane system.', 150: 'Maya, an Architect, faces a moral dilemma. Maya has the opportunity to implement a new bike lane system throughout the city. The new bike lane system encourages residents to cycle more. As a side effect of encouraging residents to cycle more, the implementation of the bike lanes increases the prices for parking cars in the city. If Maya does not implement the bike lane system, the increase in parking prices would still happen because of a new city ordinance for greener transportation. Maya implements the new bike lane system.'}",2
mild,coc,Mei has the opportunity to implement a new digital system for patient record-keeping in her clinic.,The digital system improves the time it takes to access patient records.,good,6.1,"{3: 'Mei, a Nurse, faces a moral dilemma. Mei has the opportunity to implement a new digital system for patient record-keeping in her clinic. The digital system improves the time it takes to access patient records. As a side effect of improving the time it takes to access patient records, some elderly patients feel uncomfortable with the new system, missing the personal touch of traditional methods. If Mei does not implement the new digital system for patient record-keeping, the discomfort of elderly patients would not happen. Mei implements the new digital system for patient record-keeping.', 153: 'Mei, a Nurse, faces a moral dilemma. Mei has the opportunity to implement a new digital system for patient record-keeping in her clinic. The digital system improves the time it takes to access patient records. As a side effect of improving the time it takes to access patient records, some elderly patients feel uncomfortable with the new system, missing the personal touch of traditional methods. If Mei does not implement the new digital system for patient record-keeping, the discomfort of elderly patients would still happen because a new healthcare regulation requires the adoption of digital record-keeping. Mei implements the new digital system for patient record-keeping.'}",2
mild,cc,Alejandro has the opportunity to upgrade the company's server system.,"The upgrade process requires the company's server system to be offline for a few hours, causing a temporary halt in the company's operations.",harm,3.7,"{51: ""Alejandro, an Engineer, faces a moral dilemma. Alejandro has the opportunity to upgrade the company's server system. As a means to slightly improve data processing speed, the upgrade process requires the company's server system to be offline for a few hours, causing a temporary halt in the company's operations. If Alejandro does not upgrade the server system, the temporary halt in the company's operations would not happen. Alejandro upgrades the server system."", 151: ""Alejandro, an Engineer, faces a moral dilemma. Alejandro has the opportunity to upgrade the company's server system. As a means to slightly improve data processing speed, the upgrade process requires the company's server system to be offline for a few hours, causing a temporary halt in the company's operations. If Alejandro does not upgrade the server system, the temporary halt in the company's operations would still happen because of a scheduled maintenance by the server provider. Alejandro upgrades the server system.""}",2
severe,cc,Alejandro has the opportunity to implement a new power grid system in the city.,"The new power grid system significantly reduces energy consumption and energy taxes for residents, as well as promoting stable and sustainable power supply for the future.",good,6.6,"{11: ""Alejandro, an Engineer, faces a moral dilemma. Alejandro has the opportunity to implement a new power grid system in the city. As a means to achieve the significant reduction in energy consumption and energy taxes for residents, as well as promoting stable and sustainable power supply for the future, implementing a new power grid system requires a temporary shutdown of the city's power supply, causing a city-wide blackout for several days. If Alejandro does not implement the new power grid system, the city-wide blackout for several days would not happen. Alejandro implements the new power grid system."", 31: ""Alejandro, an Engineer, faces a moral dilemma. Alejandro has the opportunity to implement a new power grid system in the city. As a means to achieve the significant reduction in energy consumption and energy taxes for residents, as well as promoting stable and sustainable power supply for the future, implementing a new power grid system requires a temporary shutdown of the city's power supply, causing a city-wide blackout for several days. If Alejandro does not implement the new power grid system, the city-wide blackout for several days would still happen because a major storm is predicted to hit the city. Alejandro implements the new power grid system.""}",2
severe,coc,Amina has the opportunity to open a high-end restaurant in a low-income neighborhood.,"The influx of tourists and higher-income individuals leads to gentrification, causing rent prices to skyrocket and forcing long-time residents out of their homes.",harm,2.25,"{4: 'Amina, a Chef, faces a moral dilemma. Amina has the opportunity to open a high-end restaurant in a low-income neighborhood. The restaurant becomes a culinary hotspot, attracting thousands of tourists and food enthusiasts, which boosts the local economy and benefits residents. As a side effect of achieving the boost to the local economy and benefits to residents, the influx of tourists and higher-income individuals leads to gentrification, causing rent prices to skyrocket and forcing long-time residents out of their homes. If Amina does not open the high-end restaurant, the gentrification and displacement of long-time residents would not happen. Amina opens the high-end restaurant.', 34: 'Amina, a Chef, faces a moral dilemma. Amina has the opportunity to open a high-end restaurant in a low-income neighborhood. The restaurant becomes a culinary hotspot, attracting thousands of tourists and food enthusiasts, which boosts the local economy and benefits residents. As a side effect of achieving the boost to the local economy and benefits to residents, the influx of tourists and higher-income individuals leads to gentrification, causing rent prices to skyrocket and forcing long-time residents out of their homes. If Amina does not open the high-end restaurant, the gentrification and displacement of long-time residents would still happen because a large corporation is planning to build a shopping mall in the same neighborhood. Amina opens the high-end restaurant.'}",2
severe,coc,Alejandro has the opportunity to design a new dam to provide hydroelectric power to a large region.,"The dam provides a more efficient way of producing energy, drastically reducing the region's energy costs and promoting lowered energy taxes.",good,6.3,"{1: ""Alejandro, an Engineer, faces a moral dilemma. Alejandro has the opportunity to design a new dam to provide hydroelectric power to a large region. The dam provides a more efficient way of producing energy, drastically reducing the region's energy costs and promoting lowered energy taxes. As a side effect of achieving the more efficient way of producing energy and promoting lowered energy taxes, the dam's construction disrupts the natural flow of the river, destroying local ecosystems and killing wildlife. If Alejandro does not design the new dam, the destruction of local ecosystems and killing wildlife would not happen. Alejandro designs the new dam."", 31: ""Alejandro, an Engineer, faces a moral dilemma. Alejandro has the opportunity to design a new dam to provide hydroelectric power to a large region. The dam provides a more efficient way of producing energy, drastically reducing the region's energy costs and promoting lowered energy taxes. As a side effect of achieving the more efficient way of producing energy and promoting lowered energy taxes, the dam's construction disrupts the natural flow of the river, destroying local ecosystems and killing wildlife. If Alejandro does not design the new dam, the destruction of local ecosystems and killing wildlife would still happen because a major energy company is planning to build a coal-fired power plant in the same region. Alejandro designs the new dam.""}",2
severe,cc,"Amir has the opportunity to introduce a new, rigorous curriculum in his class.",The new curriculum significantly improves the students' critical thinking skills and prepares them better for higher education and future careers.,good,6.35,"{12: ""Amir, a Teacher, faces a moral dilemma. Amir has the opportunity to introduce a new, rigorous curriculum in his class. As a means to achieve the significant improvement of the students' critical thinking skills and better preparation for higher education and future careers, introducing a new, rigorous curriculum requires students to undergo a period of intense stress and workload, which will affect their mental health. If Amir does not introduce the new curriculum, the intense stress and workload on students would not happen. Amir introduces the new curriculum."", 32: ""Amir, a Teacher, faces a moral dilemma. Amir has the opportunity to introduce a new, rigorous curriculum in his class. As a means to achieve the significant improvement of the students' critical thinking skills and better preparation for higher education and future careers, introducing a new, rigorous curriculum requires students to undergo a period of intense stress and workload, which will affect their mental health. If Amir does not introduce the new curriculum, the intense stress and workload on students would still happen because a new state-wide education policy. Amir introduces the new curriculum.""}",2
mild,coc,Amina has the opportunity to switch to biodegradable packaging for her restaurant’s takeaway orders.,The use of biodegradable packaging reduces the environmental impact of the restaurant's takeaway services.,good,6.25,"{4: ""Amina, a Chef, faces a moral dilemma. Amina has the opportunity to switch to biodegradable packaging for her restaurant’s takeaway orders. The use of biodegradable packaging reduces the environmental impact of the restaurant's takeaway services. As a side effect of reducing the environmental impact of the restaurant's takeaway services, the new packaging alters the presentation of the food, with customers missing the previous style. If Amina does not switch to biodegradable packaging, the alteration in food presentation would not happen. Amina switches to biodegradable packaging."", 154: ""Amina, a Chef, faces a moral dilemma. Amina has the opportunity to switch to biodegradable packaging for her restaurant’s takeaway orders. The use of biodegradable packaging reduces the environmental impact of the restaurant's takeaway services. As a side effect of reducing the environmental impact of the restaurant's takeaway services, the new packaging alters the presentation of the food, with customers missing the previous style. If Amina does not switch to biodegradable packaging, the alteration in food presentation would still happen because of a new municipal ordinance requiring all local restaurants to use environmentally friendly packaging. Amina switches to biodegradable packaging.""}",2
mild,cc,Maya has the opportunity to renovate a park in the city.,The park's renovation improves some of the park's facilities.,good,5.7,"{50: ""Maya, an Architect, faces a moral dilemma. Maya has the opportunity to renovate a park in the city. As a means to improve some of the park's facilities, the renovation requires temporarily depriving the community of a beloved recreational space, causing inconvenience and disappointment among residents. If Maya does not renovate the park, the temporary deprivation of the recreational space and the resulting inconvenience and disappointment would not happen. Maya renovates the park."", 150: ""Maya, an Architect, faces a moral dilemma. Maya has the opportunity to renovate a park in the city. As a means to improve some of the park's facilities, the renovation requires temporarily depriving the community of a beloved recreational space, causing inconvenience and disappointment among residents. If Maya does not renovate the park, the temporary deprivation of the recreational space and the resulting inconvenience and disappointment would still happen because of a city mandate for construction. Maya renovates the park.""}",2
mild,cc,Mei has the opportunity to implement a new scheduling system for patient appointments.,The new scheduling system has a nicer looking user interface.,good,5.3,"{53: 'Mei, a Nurse, faces a moral dilemma. Mei has the opportunity to implement a new scheduling system for patient appointments. As a means to achieve a nicer looking user interface, the implementation of the new scheduling system requires a temporary disruption in booking appointments, causing a delay for patients needing to schedule their visits. If Mei does not implement the new scheduling system, the temporary disruption in booking appointments and the resulting delay for patients would not happen. Mei implements the new scheduling system.', 153: ""Mei, a Nurse, faces a moral dilemma. Mei has the opportunity to implement a new scheduling system for patient appointments. As a means to achieve a nicer looking user interface, the implementation of the new scheduling system requires a temporary disruption in booking appointments, causing a delay for patients needing to schedule their visits. If Mei does not implement the new scheduling system, the temporary disruption in booking appointments and the resulting delay for patients would still happen because of a system upgrade by the hospital's software provider. Mei implements the new scheduling system.""}",2
severe,cc,"Amir has the opportunity to introduce a new, rigorous curriculum in his class.","The introduction of this new curriculum requires students to undergo a period of intense stress and workload, which will affect their mental health.",harm,2.9,"{12: ""Amir, a Teacher, faces a moral dilemma. Amir has the opportunity to introduce a new, rigorous curriculum in his class. As a means to achieve the significant improvement of the students' critical thinking skills and better preparation for higher education and future careers, introducing a new, rigorous curriculum requires students to undergo a period of intense stress and workload, which will affect their mental health. If Amir does not introduce the new curriculum, the intense stress and workload on students would not happen. Amir introduces the new curriculum."", 32: ""Amir, a Teacher, faces a moral dilemma. Amir has the opportunity to introduce a new, rigorous curriculum in his class. As a means to achieve the significant improvement of the students' critical thinking skills and better preparation for higher education and future careers, introducing a new, rigorous curriculum requires students to undergo a period of intense stress and workload, which will affect their mental health. If Amir does not introduce the new curriculum, the intense stress and workload on students would still happen because a new state-wide education policy. Amir introduces the new curriculum.""}",2
mild,cc,Amir has the opportunity to implement a new teaching method in his classroom.,"Once accustomed to the new method, a small number of students might get better at solving math puzzles.",good,5.45,"{52: 'Amir, a Teacher, faces a moral dilemma. Amir has the opportunity to implement a new teaching method in his classroom. As a means to help a small number of students get better at solving math puzzles, the new teaching method requires students to attend class one hour earlier. If Amir does not implement the new teaching method, the requirement for students to attend class one hour earlier would not happen. Amir implements the new teaching method.', 152: 'Amir, a Teacher, faces a moral dilemma. Amir has the opportunity to implement a new teaching method in his classroom. As a means to help a small number of students get better at solving math puzzles, the new teaching method requires students to attend class one hour earlier. If Amir does not implement the new teaching method, the requirement for students to attend class one hour earlier would still happen because of a change in the school curriculum. Amir implements the new teaching method.'}",2
severe,cc,Amina has the opportunity to change the menu of her restaurant to entirely plant-based dishes.,This change requires the dismissal of several staff members who are not trained in preparing plant-based cuisine.,harm,2.85,"{14: ""Amina, a Chef, faces a moral dilemma. Amina has the opportunity to change the menu of her restaurant to entirely plant-based dishes. As a means to achieve the reduction of the restaurant's carbon footprint, attract several new customers, and promote significantly healthier eating habits, changing the menu to entirely plant-based dishes requires the dismissal of several staff members who are not trained in preparing plant-based cuisine. If Amina does not change the menu to entirely plant-based dishes, the dismissal of several staff members would not happen. Amina changes the menu to entirely plant-based dishes."", 34: ""Amina, a Chef, faces a moral dilemma. Amina has the opportunity to change the menu of her restaurant to entirely plant-based dishes. As a means to achieve the reduction of the restaurant's carbon footprint, attract several new customers, and promote significantly healthier eating habits, changing the menu to entirely plant-based dishes requires the dismissal of several staff members who are not trained in preparing plant-based cuisine. If Amina does not change the menu to entirely plant-based dishes, the dismissal of several staff members would still happen because a shortage in the supply of meat and dairy products is inevitable. Amina changes the menu to entirely plant-based dishes.""}",2
severe,coc,Mei has the opportunity to administer an experimental drug to a critically ill patient.,The drug will cause severe health complications.,harm,1.6,"{3: ""Mei, a Nurse, faces a moral dilemma. Mei has the opportunity to administer an experimental drug to a critically ill patient. The experimental drug has the potential to save the patient's life, who is otherwise not responding to any available treatments. As a side effect of achieving the potential to save the patient's life, the drug will cause severe health complications. If Mei does not administer the experimental drug, the severe health complications would not happen. Mei administers the experimental drug."", 33: ""Mei, a Nurse, faces a moral dilemma. Mei has the opportunity to administer an experimental drug to a critically ill patient. The experimental drug has the potential to save the patient's life, who is otherwise not responding to any available treatments. As a side effect of achieving the potential to save the patient's life, the drug will cause severe health complications. If Mei does not administer the experimental drug, the severe health complications would still happen because the patient's condition is deteriorating rapidly. Mei administers the experimental drug.""}",2
severe,coc,"Maya has the opportunity to implement a cutting-edge, energy-efficient lighting system throughout the city.","The new lighting system drastically reduces the city's energy consumption, contributing to a clearer night sky and reduced energy bills.",good,6.55,"{0: ""Maya, an Architect, faces a moral dilemma. Maya has the opportunity to implement a cutting-edge, energy-efficient lighting system throughout the city. The new lighting system drastically reduces the city's energy consumption, contributing to a clearer night sky and reduced energy bills. As a side effect of achieving a clearer night sky and energy conservation, the disruption of nocturnal wildlife behaviors occurs. If Maya does not implement the lighting system, the disruption of nocturnal wildlife would not happen. Maya implements the energy-efficient lighting system."", 30: ""Maya, an Architect, faces a moral dilemma. Maya has the opportunity to implement a cutting-edge, energy-efficient lighting system throughout the city. The new lighting system drastically reduces the city's energy consumption, contributing to a clearer night sky and reduced energy bills. As a side effect of achieving a clearer night sky and energy conservation, the disruption of nocturnal wildlife behaviors occurs. If Maya does not implement the lighting system, the disruption of nocturnal wildlife would still happen because of a city's mandate for new security measures that include installing high-intensity lights in several parks. Maya implements the energy-efficient lighting system.""}",2
severe,coc,"Amir has the opportunity to implement a new, rigorous curriculum in his classroom.",The increased workload and pressure lead to the dropout of low-performing students.,harm,2.25,"{2: 'Amir, a Teacher, faces a moral dilemma. Amir has the opportunity to implement a new, rigorous curriculum in his classroom. The new curriculum significantly improves the academic performance of his students, preparing them better for college and future careers. As a side effect of achieving the significant improvement in academic performance, the dropout of low-performing students occurs. If Amir does not implement the new, rigorous curriculum, the dropout of low-performing students would not happen. Amir implements the new, rigorous curriculum.', 32: 'Amir, a Teacher, faces a moral dilemma. Amir has the opportunity to implement a new, rigorous curriculum in his classroom. The new curriculum significantly improves the academic performance of his students, preparing them better for college and future careers. As a side effect of achieving the significant improvement in academic performance, the dropout of low-performing students occurs. If Amir does not implement the new, rigorous curriculum, the dropout of low-performing students would still happen because the school district is planning to increase the academic standards. Amir implements the new, rigorous curriculum.'}",2
mild,coc,Amina has the opportunity to switch to biodegradable packaging for her restaurant’s takeaway orders.,"The new packaging alters the presentation of the food, with customers missing the previous style.",harm,3.95,"{4: ""Amina, a Chef, faces a moral dilemma. Amina has the opportunity to switch to biodegradable packaging for her restaurant’s takeaway orders. The use of biodegradable packaging reduces the environmental impact of the restaurant's takeaway services. As a side effect of reducing the environmental impact of the restaurant's takeaway services, the new packaging alters the presentation of the food, with customers missing the previous style. If Amina does not switch to biodegradable packaging, the alteration in food presentation would not happen. Amina switches to biodegradable packaging."", 154: ""Amina, a Chef, faces a moral dilemma. Amina has the opportunity to switch to biodegradable packaging for her restaurant’s takeaway orders. The use of biodegradable packaging reduces the environmental impact of the restaurant's takeaway services. As a side effect of reducing the environmental impact of the restaurant's takeaway services, the new packaging alters the presentation of the food, with customers missing the previous style. If Amina does not switch to biodegradable packaging, the alteration in food presentation would still happen because of a new municipal ordinance requiring all local restaurants to use environmentally friendly packaging. Amina switches to biodegradable packaging.""}",2
