health_state,lay_description,weight,text_source
"Terminal phase: without medication (for cancers, end-stage kidney or liver disease)","Terminal phase: without medication (for cancers, end-stage kidney or liver disease)",0.569,name
Acute myocardial infarction: days 3-28,"gets short of breath after heavy physical activity, and tires easily, but has no problems when at rest. The person has to take medication every day and has some anxiety.",0.074,desc
Angina pectoris: moderate,"has chest pain that occurs with moderate physical activity, such as walking uphill or more than half a kilometer (around a quarter-mile) on level ground. After a brief rest, the pain goes away. (Continues on next page)",0.08,desc
Cardiac conduction disorders and cardiac dysrhythmias,has periods of rapid and irregular heartbeats and occasional fainting.,0.224,desc
Heart failure: mild,"is short of breath and easily tires with moderate physical activity, such as walking uphill or more than a quarter-mile on level ground. The person feels comfortable at rest or during activities requiring less effort.",0.041,desc
Heart failure: moderate,"is short of breath and easily tires with minimal physical activity, such as walking only a short distance. The person feels comfortable at rest but avoids moderate activity.",0.072,desc
Heart failure: severe,"is short of breath and feels tired when at rest. The person avoids any physical activity, for fear of worsening the breathing problems.",0.179,desc
"Stroke: long-term consequences, moderate","has some difficulty in moving around, and in using the hands for lifting and holding things, dressing and grooming.",0.07,desc
"Stroke: long-term consequences, severe plus cognition problems","Stroke: long-term consequences, severe plus cognition problems",0.588,name
Diabetic neuropathy,"has pain, tingling and numbness in the arms, legs, hands and feet. The person sometimes gets cramps and muscle weakness.",0.133,desc
Chronic kidney disease (stage IV),"tires easily, has nausea, reduced appetite and difficulty sleeping.",0.104,desc
End-stage renal disease: with kidney transplant,"sometimes feels tired and down, and has some difficulty with daily activities.",0.024,desc
End-stage renal disease: on dialysis,"is tired and has itching, cramps, headache, joint pains and shortness of breath. The person needs intensive medical care every other day lasting about half a day.",0.571,desc
Decompensated cirrhosis of the liver,"has a swollen belly and swollen legs. The person feels weakness, fatigue and loss of appetite.",0.178,desc
Crohn's disease or ulcerative colitis,"has cramping abdominal pain, has diarrhea several times a day, and feels very tired for two months every year. When the person does not have symptoms, there is anxiety about them returning.",0.231,desc
Infertility: primary,"wants to have a child and has a fertile partner, but the couple cannot conceive.",0.008,desc
Infertility: secondary,"has at least one child, and wants to have more children. The person has a fertile partner, but the couple cannot conceive.",0.005,desc
Asthma: controlled,"has wheezing and cough once a month, which does not cause difficulty with daily activities. (Continues on next page)",0.015,desc
Asthma: partially controlled,"has wheezing and cough once a week, which causes some difficulty with daily activities.",0.036,desc
COPD and other chronic respiratory diseases: mild,"has cough and shortness of breath after heavy physical activity, but is able to walk long distances and climb stairs.",0.019,desc
COPD and other chronic respiratory diseases: moderate,"has cough, wheezing and shortness of breath, even after light physical activity. The person feels tired and can walk only short distances or climb only a few stairs.",0.225,desc
COPD and other chronic respiratory diseases: severe,"has cough, wheezing and shortness of breath all the time. The person has great difficulty walking even short distances or climbing any stairs, feels tired when at rest, and is anxious.",0.408,desc
Dementia: mild,"has some trouble remembering recent events, and finds it hard to concentrate and make decisions and plans.",0.069,desc
Dementia: moderate,"has memory problems and confusion, feels disoriented, at times hears voices that are not real, and needs help with some daily activities.",0.377,desc
Multiple sclerosis: mild,"has mild loss of feeling in one hand, is a little unsteady while walking, has slight loss of vision in one eye, and often needs to urinate urgently.",0.183,desc
Multiple sclerosis: moderate,"needs help walking, has difficulty with writing and arm coordination, has loss of vision in one eye and cannot control urinating.",0.463,desc
Multiple sclerosis: severe,"has slurred speech and difficulty swallowing. The person has weak arms and hands, very limited and stiff leg movement, has loss of vision in both eyes and cannot control urinating.",0.719,desc
Parkinson's disease: mild,"has mild tremors and moves a little slowly, but is able to walk and do daily activities without assistance.",0.01,desc
Parkinson's disease: moderate,"has moderate tremors and moves slowly, which causes some difficulty in walking and daily activities. The person has some trouble swallowing, talking, sleeping, and remembering things.",0.267,desc
Parkinson's disease: severe,"has severe tremors and moves very slowly, which causes great difficulty in walking and daily activities. The person falls easily and has a lot of difficulty talking, swallowing, sleeping, and remembering things.",0.575,desc
Alcohol use disorder: mild,"drinks a lot of alcohol and sometimes has difficulty controlling the urge to drink. While intoxicated, the person has difficulty performing daily activities.",0.235,desc
Alcohol use disorder: moderate,"drinks a lot, gets drunk almost every week and has great difficulty controlling the urge to drink. Drinking and recovering cause great difficulty in daily activities, sleep loss, and fatigue. (Continues on next page)",0.373,desc
Alcohol use disorder: severe,"gets drunk almost every day and is unable to control the urge to drink. Drinking and recovering replace most daily activities. The person has difficulty thinking, remembering and communicating, and feels constant pain and fatigue.",0.57,desc
Cannabis dependence: moderate to severe,"uses marijuana daily and has difficulty controlling the habit. The person sometimes has mood swings, anxiety and hallucinations, and has some difficulty in daily activities.",0.266,desc
Amphetamine dependence: moderate to severe,"uses stimulants (drugs) and has difficulty controlling the habit. The person sometimes has depression, hallucinations and mood swings, and has difficulty in daily activities.",0.486,desc
Cocaine dependence: moderate to severe,"uses cocaine and has difficulty controlling the habit. The person sometimes has mood swings, anxiety, paranoia, hallucinations and sleep problems, and has some difficulty in daily activities.",0.479,desc
Heroin and other opioid dependence: moderate to severe,"uses heroin daily and has difficulty controlling the habit. When the effects wear off, the person feels severe nausea, agitation, vomiting and fever. The person has a lot of difficulty in daily activities.",0.697,desc
Anxiety disorders: mild,"feels mildly anxious and worried, which makes it slightly difficult to concentrate, remember things, and sleep. The person tires easily but is able to perform daily activities.",0.03,desc
Anxiety disorders: moderate,"feels anxious and worried, which makes it difficult to concentrate, remember things, and sleep. The person tires easily and finds it difficult to perform daily activities.",0.133,desc
Anxiety disorders: severe,"constantly feels very anxious and worried, which makes it difficult to concentrate, remember things and sleep. The person has lost pleasure in life and thinks about suicide.",0.523,desc
Major depressive disorder: moderate episode,"has constant sadness and has lost interest in usual activities. The person has some difficulty in daily life, sleeps badly, has trouble concentrating, and sometimes thinks about harming himself (or herself).",0.396,desc
Major depressive disorder: severe episode,"has overwhelming, constant sadness and cannot function in daily life. The person sometimes loses touch with reality and wants to harm or kill himself (or herself).",0.658,desc
Distance vision: mild impairment,"has some difficulty with distance vision, for example reading signs, but no other problems with eyesight.",0.003,desc
Distance vision: moderate impairment,has vision problems that make it difficult to recognize faces or objects across a room.,0.031,desc
Distance vision: severe impairment,"has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.",0.184,desc
Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance.",0.187,desc
Presbyopia,"has difficulty seeing things that are nearer than 3 feet, but has no difficulty with seeing things at a distance.",0.011,desc
"Low back pain: severe, without leg pain","has severe back pain, which causes difficulty dressing, sitting, standing, walking, and lifting things. The person sleeps poorly and feels worried.",0.272,desc
"Low back pain: severe, with leg pain","has severe back and leg pain, which causes difficulty dressing, sitting, standing, walking, and lifting things. The person sleeps poorly and feels worried.",0.325,desc
"Low back pain: most severe, without leg pain","has constant back pain, which causes difficulty dressing, sitting, standing, walking, and lifting things. The person sleeps poorly, is worried, and has lost some enjoyment in life.",0.372,desc
"Low back pain: most severe, with leg pain","has constant back and leg pain, which causes difficulty dressing, sitting, standing, walking, and lifting things. The person sleeps poorly, is worried, and has lost some enjoyment in life.",0.384,desc
Neck pain: mild,"has neck pain, and has difficulty turning the head and lifting things.",0.053,desc
Neck pain: moderate,"has constant neck pain, and has difficulty turning the head, holding arms up, and lifting things",0.114,desc
Neck pain: severe,"has severe neck pain, and difficulty turning the head and lifting things. The person gets headaches and arm pain, sleeps poorly, and feels tired and worried.",0.229,desc
Neck pain: most severe,"has constant neck pain and arm pain, and difficulty turning the head, holding arms up, and lifting things. The person gets headaches, sleeps poorly, and feels tired and worried.",0.304,desc
"Musculoskeletal problems: legs, mild","has pain in the leg, which causes some difficulty running, walking long distances, and getting up and down.",0.023,desc
"Musculoskeletal problems: legs, moderate","has moderate pain in the leg, which makes the person limp, and causes some difficulty walking, standing, lifting and carrying heavy things, getting up and down and sleeping.",0.079,desc
"Musculoskeletal problems: legs, severe","has severe pain in the leg, which makes the person limp and causes a lot of difficulty walking, standing, lifting and carrying heavy things, getting up and down, and sleeping. (Continues on next page)",0.165,desc
"Musculoskeletal problems: arms, mild","has mild pain and stiffness in the arms and hands. The person has some difficulty lifting, carrying and holding things.",0.028,desc
"Musculoskeletal problems: arms, moderate","has moderate pain and stiffness in the arms and hands, which causes difficulty lifting, carrying, and holding things, and trouble sleeping because of the pain.",0.117,desc
"Musculoskeletal problems: generalised, moderate","has pain and deformity in most joints, causing difficulty moving around, getting up and down, and using the hands for lifting and carrying. The person often feels fatigue.",0.317,desc
"Musculoskeletal problems: generalised, severe","has severe, constant pain and deformity in most joints, causing difficulty moving around, getting up and down, eating, dressing, lifting, carrying and using the hands. The person often feels sadness, anxiety and extreme fatigue.",0.581,desc
Amputation of thumb: long term,"has lost one thumb, causing some difficulty in using the hand, pain, and tingling in the stump.",0.011,desc
Amputation of toe,"has lost one toe, leaving occasional pain and tingling in the stump.",0.006,desc
"Amputation of one leg: long term, without treatment","has lost part of one leg, leaving pain and tingling in the stump. The person does not have an artificial leg, has frequent sores, and uses crutches.",0.173,desc
"Burns of <20% total surface area without lower airway burns: short term, with or without","Burns of <20% total surface area without lower airway burns: short term, with or without",0.141,name
"Burns of <20% total surface area or <10% total surface area if head or neck, or hands or","Burns of <20% total surface area or <10% total surface area if head or neck, or hands or",0.016,name
"Burns of ≥20% total surface area: short term, with or without treatment","Burns of ≥20% total surface area: short term, with or without treatment",0.314,name
"Burns of ≥20% total surface area or ≥10% total surface area if head or neck, or hands or","Burns of ≥20% total surface area or ≥10% total surface area if head or neck, or hands or",0.135,name
"Crush injury: short or long term, with or without treatment","had part of the body crushed, leaving pain, swelling, tingling and limited feeling in the affected area.",0.132,desc
"Dislocation of hip: long term, with or without treatment",walks with a limp and feels discomfort when walking.,0.016,desc
"Dislocation of knee: long term, with or without treatment","has a knee out of joint, causing pain and difficulty moving the knee, which sometimes gives way. The person needs crutches for walking and help with self-care such as dressing.",0.113,desc
"Dislocation of shoulder: long term, with or without treatment","has a shoulder that is out of joint, causing pain and difficulty moving. The person has difficulty with daily activities such as dressing and cooking.",0.062,desc
"Other injuries of muscle and tendon (includes sprains, strains, and dislocations other than","Other injuries of muscle and tendon (includes sprains, strains, and dislocations other than",0.008,name
"Drowning and nonfatal submersion: short or long term, with or without treatment","Drowning and nonfatal submersion: short or long term, with or without treatment",0.247,name
"Fracture of clavicle, scapula, or humerus: short or long term, with or without treatment","Fracture of clavicle, scapula, or humerus: short or long term, with or without treatment",0.035,name
"Fracture of foot bones: short term, with or without treatment","has a broken foot bone, which causes pain, swelling, and difficulty walking.",0.026,desc
"Fracture of foot bones: long term, without treatment",had a broken foot in the past that did not heal properly. The person now has pain in the foot and has some difficulty walking.,0.026,desc
"Fracture of hand: short term, with or without treatment","has a broken hand, causing pain and swelling.",0.01,desc
"Fracture of hand: long term, without treatment",has stiffness in the hand and a weak grip.,0.014,desc
"Fracture of neck of femur: short term, with or without treatment","has broken a hip and is in pain. The person cannot stand or walk, and needs help washing, dressing, and going to the toilet.",0.258,desc
"Fracture of neck of femur: long term, with treatment","had a broken hip in the past, which was fixed with treatment. The person can only walk short distances, has discomfort when moving around, and has some difficulty in daily activities.",0.058,desc
"Fracture of neck of femur: long term, without treatment","had a broken hip bone in the past, which was never treated and did not heal properly. The person cannot get out of bed and needs help washing and going to the toilet.",0.402,desc
"Fracture, other than neck of femur: short term, with or without treatment","Fracture, other than neck of femur: short term, with or without treatment",0.111,name
"Fracture, other than neck of femur: long term, without treatment","had a broken thigh bone in the past, which was never treated and did not heal properly. The person now has a limp and discomfort when walking.",0.042,desc
"Fracture of patella, tibia or fibula, or ankle: short term, with or without treatment","Fracture of patella, tibia or fibula, or ankle: short term, with or without treatment",0.05,name
"Fracture of patella, tibia or fibula, or ankle: long term, with or without treatment","Fracture of patella, tibia or fibula, or ankle: long term, with or without treatment",0.055,name
Fracture of pelvis: short term,"has a broken pelvis bone, with swelling and bruising. The person has severe pain, and cannot walk or do daily activities.",0.279,desc
Fracture of pelvis: long term,"had a broken pelvis in the past and now walks with a limp. There is often pain in the back and groin, and when urinating and sitting for a long time.",0.182,desc
"Fracture of radius or ulna: short term, with or without treatment","has a broken forearm, which causes severe pain, swelling, and limited movement.",0.028,desc
"Fracture of radius or ulna: long term, without treatment","had a broken forearm in the past that did not heal properly, causing some pain and limited movement in the elbow and wrist. The person has difficulty with daily activities such as dressing.",0.043,desc
"Fracture of skull: short or long term, with or without treatment","has a broken skull, but does not have brain damage. The broken area is painful and swollen.",0.071,desc
"Fracture of sternum or fracture of one or two ribs: short term, with or without treatment","Fracture of sternum or fracture of one or two ribs: short term, with or without treatment",0.103,name
"Fracture of vertebral column: short or long term, with or without treatment","Fracture of vertebral column: short or long term, with or without treatment",0.111,name
"Fractures: treated, long term",has slight pain in a bone that was broken in the past. (Continues on next page),0.005,desc
Injured nerves: short term,"has a nerve injury, which causes difficulty moving and some loss of feeling in the affected area.",0.1,desc
Injured nerves: long term,"had a nerve injury in the past, which continues to cause some difficulty moving. The person often injures the affected part because it is numb.",0.113,desc
Injury to eyes: short term,"has an injury to one eye, which causes pain and difficulty seeing.",0.054,desc
"Severe traumatic brain injury: short term, with or without treatment","Severe traumatic brain injury: short term, with or without treatment",0.214,name
"Traumatic brain injury: long-term consequences, minor, with or without treatment","Traumatic brain injury: long-term consequences, minor, with or without treatment",0.094,name
"Traumatic brain injury: long-term consequences, moderate, with or without treatment","Traumatic brain injury: long-term consequences, moderate, with or without treatment",0.231,name
"Traumatic brain injury: long-term consequences, severe, with or without treatment","Traumatic brain injury: long-term consequences, severe, with or without treatment",0.637,name
"Open wound: short term, with or without treatment","has a cut in the skin, which causes pain and numbness around the cut.",0.006,desc
Poisoning: short term with or without treatment,"has drowsiness, stomach pain and vomiting.",0.163,desc
"Severe chest injury: long term, with or without treatment",had a severe chest injury in the past that has now healed. The person still gets breathless when walking and feels discomfort in the chest.,0.047,desc
"Severe chest injury: short term, with or without treatment","has a serious chest injury, which causes severe pain, shortness of breath and anxiety.",0.369,desc
Abdominopelvic problem: mild,has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011,desc
Abdominopelvic problem: moderate,has pain in the belly and feels nauseous. The person has difficulties with daily activities.,0.114,desc
Abdominopelvic problem: severe,has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,0.324,desc
Anemia: mild,"feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.004,desc
Anemia: moderate,"feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.",0.052,desc
Anemia: severe,"feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.",0.149,desc
Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,desc
Motor impairment: mild,has some difficulty in moving around but is able to walk without help.,0.01,desc
Motor impairment: moderate,"has some difficulty in moving around, and difficulty in lifting and holding objects, dressing and sitting upright, but is able to walk without help.",0.061,desc
Motor impairment: severe,"is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright.",0.402,desc
Herpes zoster,"has a blistering skin rash that causes pain, with some burning and itching.",0.058,desc
Intestinal nematode infections: symptomatic,has cramping pain and a bloated feeling in the belly.,0.027,desc
Lymphatic filariasis: symptomatic,"has swollen legs with hard and thick skin, which causes difficulty in moving around.",0.109,desc
Mastectomy,had one of her breasts removed and sometimes has pain or swelling in the arms.,0.036,desc
Acute myocardial infarction: days 1-2,"has severe chest pain that becomes worse with any physical activity,. The person feels nauseous, short of breath, and very anxious.",0.432,desc
Angina pectoris: mild,"has chest pain that occurs with strenuous physical activity, such as running or lifting heavy objects. After a brief rest, the pain goes away.",0.033,desc
Angina pectoris: severe,"has chest pain that occurs with minimal physical activity, such as walking only a short distance. After a brief rest, the pain goes away. The person avoids most physical activities because of the pain.",0.167,desc
Claudication,has cramping pains in the legs after walking a medium distance. The pain goes away after a short rest.,0.014,desc
"Stroke: long-term consequences, mild","has some difficulty in moving around and some weakness in one hand, but is able to walk without help.",0.019,desc
"Stroke: long-term consequences, moderate plus cognition problems","Stroke: long-term consequences, moderate plus cognition problems",0.316,name
"Stroke: long-term consequences, severe","is confined to bed or a wheelchair, has difficulty speaking and depends on others for feeding, toileting and dressing.",0.552,desc
Diabetic foot,has a sore on the foot that is swollen and causes some difficulty in walking.,0.02,desc
Gastric bleeding,vomits blood and feels nauseous.,0.325,desc
Benign prostatic hypertrophy: symptomatic,"feels the urge to urinate frequently, but when passing urine it comes out slowly and sometimes is painful.",0.067,desc
Urinary incontinence,cannot control urinating.,0.139,desc
Impotence,has difficulty in obtaining or maintaining an erection.,0.017,desc
Dementia: severe,has complete memory loss; no longer recognizes close family members; and requires help with all daily activities.,0.449,desc
Headache: migraine,"has severe, throbbing head pain and nausea that cause great difficulty in daily activities and sometimes confine the person to bed. Moving around, light, and noise make it worse.",0.441,desc
Headache: tension-type,"has a moderate headache that also affects the neck, which causes difficulty in daily activities.",0.037,desc
Fetal alcohol syndrome: mild,"is a little slow in developing physically and mentally, which causes some difficulty in learning but no other difficulties in daily activities.",0.016,desc
Fetal alcohol syndrome: moderate,"is slow in developing physically and mentally, which causes some difficulty in daily activities.",0.056,desc
Fetal alcohol syndrome: severe,"is very slow in developing physically and mentally, which causes great difficulty in daily activities.",0.179,desc
Bipolar disorder: manic episode,"is hyperactive, hears and believes things that are not real, and engages in impulsive and aggressive behavior that endanger the person and others.",0.492,desc
Bipolar disorder: residual state,"has mild mood swings, irritability and some difficulty with daily activities.",0.032,desc
Schizophrenia: acute state,"hears and sees things that are not real and is afraid, confused, and sometimes violent. The person has great difficulty with communication and daily activities, and sometimes wants to harm or kill himself (or herself).",0.778,desc
Schizophrenia: residual state,"hears and sees things that are not real and has trouble communicating. The person can be forgetful, has difficulty with daily activities, and thinks about hurting himself (or herself). (Continues on next page)",0.588,desc
Anorexia nervosa,"feels an overwhelming need to starve and exercises excessively to lose weight. The person is very thin, weak and anxious.",0.224,desc
Bulimia nervosa,"has uncontrolled overeating followed by guilt, starving, and vomiting to lose weight.",0.223,desc
Attention deficit hyperactivity disorder,"is hyperactive and has difficulty concentrating, remembering things, and completing tasks.",0.045,desc
Conduct disorder,"has frequent behavior problems, which are sometimes violent. The person often has difficulty interacting with other people and feels irritable.",0.241,desc
Asperger's syndrome,"has difficulty interacting with other people, and is slow to understand or respond to questions. The person is often preoccupied with one thing and has some difficulty with basic daily activities.",0.104,desc
Autism,has severe problems interacting with others and difficulty understanding simple questions or directions. The person has great difficulty with basic daily activities and becomes distressed by any change in routine.,0.262,desc
Gout: acute,"has severe pain and swelling in the leg, making it very difficult to get up and down, stand, walk, lift, and carry heavy things. The person has trouble sleeping because of the pain.",0.295,desc
Lower airway burns: with or without treatment,"has a burn in the throat and lungs, which causes great difficulty breathing and a lot of anxiety.",0.376,desc
Periodontitis,"has minor bleeding of the gums from time to time, with mild discomfort.",0.007,desc
Dental caries: symptomatic,"has a toothache, which causes some difficulty in eating.",0.01,desc
Severe tooth loss,"has lost more than 20 teeth including front and back, and has great difficulty in eating meat, fruits, and vegetables.",0.067,desc
Disfigurement: level 1,"has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011,desc
Disfigurement: level 2,"has a visible physical deformity that causes others to stare and comment. As a result, the person is worried and has trouble sleeping and concentrating. (Continues on next page)",0.067,desc
Disfigurement: level 3,"has an obvious physical deformity that makes others uncomfortable, which causes the person to avoid social contact, feel worried, sleep poorly, and think about suicide.",0.405,desc
Disfigurement: level 1 with itch or pain,"has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.",0.027,desc
"Disfigurement: level 2, with itch or pain","has a visible physical deformity that is sore and itchy. Other people stare and comment, which causes the person to worry. The person has trouble sleeping and concentrating.",0.188,desc
"Disfigurement: level 3, with itch or pain","has an obvious physical deformity that is very painful and itchy. The physical deformity makes others uncomfortable, which causes the person to avoid social contact, feel worried, sleep poorly, and think about suicide.",0.576,desc
Iodine-deficiency goitre,"has a large mass in the front of the neck. The person sometimes has weakness and fatigue, constipation and weight gain.",0.199,desc
Kwashiorkor,is very tired and irritable and has diarrhea.,0.051,desc
Severe wasting,is extremely skinny and has no energy.,0.128,desc
Speech problems,"has difficulty speaking, and others find it difficult to understand.",0.051,desc
Rectovaginal fistula,"has an abnormal opening between her vagina and rectum causing flatulence and feces to escape through the vagina. The person gets infections in her vagina, and has pain when urinating.",0.501,desc
Vesicovaginal fistula,"has an abnormal opening between the bladder and the vagina, which makes her unable to control urinating. The woman is anxious and depressed.",0.342,desc
Stress incontinence,"loses small amounts of urine without meaning to when coughing, sneezing, laughing or during physical exercise.",0.02,desc
Headache: medication overuse,"has daily headaches, felt as dull pain and often lasting all day, with poor sleep, nausea and fatigue. The person takes medicine for the headaches, which provides little relief but is needed to avoid having worse symptoms.",0.223,desc
Epilepsy: severe (seizures ≥ once per,"has sudden seizures one or more times each month, with violent muscle",0.552,inline
"Epilepsy: less severe (seizures < once per has sudden seizures two to five times a year, with violent muscle","Epilepsy: less severe (seizures < once per has sudden seizures two to five times a year, with violent muscle",0.263,name
Alcohol use disorder: very mild,"drinks alcohol daily and has difficulty controlling the urge to drink. When sober, the person functions normally.",0.123,desc
Cannabis dependence: mild,"uses marijuana at least once a week and has some difficulty controlling the habit. When not using, the person functions normally.",0.039,desc
Amphetamine dependence: mild,"uses stimulants (drugs) at least once a week and has some difficulty controlling the habit. When not using, the person functions normally.",0.079,desc
Cocaine dependence: mild,"uses cocaine at least once a week and has some difficulty controlling the habit. When not using, the person functions normally.",0.116,desc
Heroin and other opioid dependence:,uses heroin (or methadone)¾daily and has difficulty controlling the habit.,0.335,inline
Borderline intellectual functioning,"is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.011,desc
Distance vision: monocular impairment,is blind in one eye and has difficulty judging distances,0.017,desc
Low back pain: mild,"has mild back pain, which causes some difficulty dressing, standing, and lifting things.",0.02,desc
Low back pain: moderate,"has moderate back pain, which causes difficulty dressing, sitting, standing, walking, and lifting things.",0.054,desc
"Amputation of one arm: long term, with","has lost one hand and part of the arm, leaving pain and tingling in the",0.039,inline
"Amputation of one arm: long term,","has lost one hand and part of the arm, leaving pain and tingling in the",0.118,inline
Concussion,"has headaches, dizziness, nausea and difficulty concentrating.",0.11,desc
Thrombocytopenic purpura,easily bruises and sometimes bleeds from the gums and nose; feels weak and has some difficulty with daily activities.,0.159,desc
Hypothyroidism,has low energy and feels cold.,0.019,desc
Hyperthyroidism,"feels nervous, has palpitations, sweats a lot and has difficulty sleeping.",0.145,desc
Vertigo,has short spells of dizziness and loss of balance; between spells the person is worried the spells will occur again.,0.113,desc
