SID,intensity,causal_condition,scenario_text,events,picked_event,picked_event_idx,option,being,C,I,K,utility,deontic,avg_permissibility_rating,avg_intention_rating
0,mild_harm_mild_good,cc_evitable_prevention_no_stories,"I, an Architect, face a moral dilemma. My colleague has the opportunity to renovate a park in the city. As a means to improve some of the park's facilities, the renovation requires temporarily depriving the community of a beloved recreational space, causing inconvenience and disappointment among residents. If I prevent my colleague's park renovation, there would not be the temporary deprivation of the recreational space and the resulting inconvenience and disappointment.","['My colleague proceeds with the park renovation', 'Community members temporarily lose access to the beloved recreational space', 'Residents experience inconvenience', 'Residents experience disappointment']",Community members temporarily lose access to the beloved recreational space,1.0,2: not prevent my colleague's park renovation.,i,+,+,+,"{'park-using residents who would be inconvenienced and disappointed by the temporary closure': '-35', 'i': '-15'}",-38.0,4.28,1.96
1,mild_harm_mild_good,cc_evitable_prevention_no_stories,"I, an Engineer, face a moral dilemma. My colleague has the opportunity to upgrade the company's server system. As a means to slightly improve data processing speed, the upgrade process requires the company's server system to be offline for a few hours, causing a temporary halt in the company's operations. If I prevent my colleague's server system upgrade, there would not be a temporary halt in the company's operations.","[""The company's server system is offline for a few hours"", ""The company's operations temporarily halt for a few hours"", 'Data processing speed slightly improves']",The company's operations temporarily halt for a few hours,1.0,2: not prevent my colleague's server system upgrade.,i,+,-,+,"{'i': '0', 'my colleague': '-15'}",-8.0,4.384615384615385,1.9230769230769231
2,mild_harm_mild_good,cc_evitable_prevention_no_stories,"I, a Teacher, face a moral dilemma. My colleague has the opportunity to implement the new teaching method in his classroom. As a means to help a small number of students get better at solving math puzzles, the new teaching method requires students to attend class one hour earlier. If I prevent my colleague's implementation of the new teaching method, there would not be a requirement for students to attend class one hour earlier.","['My colleague implements the new teaching method in the classroom', ""Students in my colleague's class are required to attend class one hour earlier"", 'A small number of students get better at solving math puzzles']",Students in my colleague's class are required to attend class one hour earlier,1.0,2: not prevent my colleague's implementation of the new teaching method.,i,+,+,+,"{""the remaining students in my colleague's classroom who would attend class one hour earlier without that math-puzzle improvement"": '-25', 'i': '0', 'my colleague': '-25', ""a small number of students in my colleague's classroom who would attend class one hour earlier and improve at solving math puzzles"": '30'}",-25.0,4.238095238095238,2.0476190476190474
3,mild_harm_mild_good,cc_evitable_prevention_no_stories,"I, a Nurse, face a moral dilemma. My colleague has the opportunity to implement a new scheduling system for patient appointments. As a means to achieve a nicer looking user interface, the implementation of the new scheduling system requires a temporary disruption in booking appointments, causing a delay for patients needing to schedule their visits. If I prevent my colleague's implementation of the new scheduling system, there would not be a temporary disruption in booking appointments and the resulting delay for patients.","['My colleague implements the new scheduling system', 'Booking appointments is temporarily disrupted', 'Patients needing to schedule visits experience delays', 'Patients and staff use a nicer-looking scheduling interface']",Patients needing to schedule visits experience delays,2.0,2: not prevent my colleague's implementation of the new scheduling system.,i,+,+,+,"{'patients needing to schedule their visits': '-45', 'i': '0', 'my colleague': '0'}",-33.0,4.28,1.76
4,mild_harm_mild_good,cc_evitable_prevention_no_stories,"I, a Chef, face a moral dilemma. My sous-chef has the opportunity to change the menu of her restaurant. As a means to introduce two new food options and attract a few new customers, the change in menu requires removing some of the customer's favorite dishes, causing disappointment among regular customers. If I prevent my sous-chef's menu change, there would not be the removal of some of the customer's favorite dishes and the resulting disappointment.","['The restaurant menu changes', 'Two new food options are added', ""Some regular customers' favorite dishes are removed"", 'Regular customers feel disappointed', 'A few new customers are attracted', 'My sous-chef gets to implement the menu change']",Regular customers feel disappointed,3.0,2: not prevent my sous-chef's menu change.,i,+,-,+,"{'an unspecified number of regular customers whose favorite dishes would be removed and who would be disappointed if the menu changes': '-35', '1 sous-chef': '-35', '1 chef': '-55', 'a few new customers': '-10', 'i': '-45', 'an unspecified number of other regular customers': '-25'}",-56.0,4.64,1.6
5,mild_harm_mild_good,cc_evitable_prevention_no_stories,"I, an Artist, face a moral dilemma. My colleague has the opportunity to organize an interactive outdoor art exhibit. As a means to increase local interest in art, the exhibit requires the temporary use of a public space, limiting its availability for regular community activities. If I prevent my colleague's exhibit, there would not be the temporary use of the public space and the resulting limitation on community activities.","['My colleague is able to organize the interactive outdoor art exhibit.', 'The public space is temporarily used for the art exhibit.', 'Community members have less access to the public space for their regular activities during the exhibit.', 'Residents and visitors have an opportunity to engage with the interactive art exhibit.', 'Local interest in art increases.']",Community members have less access to the public space for their regular activities during the exhibit.,2.0,2: not prevent my colleague's exhibit.,i,+,-,+,"{'1 colleague': '-20', '1 artist': '25', 'an unknown number of community members whose regular activities would be limited by the temporary use of the public space': '-35', 'i': '-35', 'an unknown number of local people whose interest in art could increase because of the exhibit': '-20'}",-33.0,4.84,1.52
6,mild_harm_mild_good,cc_evitable_prevention_no_stories,"I, a Lawyer, face a moral dilemma. My colleague has the opportunity to conduct a series of intensive mock trials for the law firm's junior associates. As a means to slightly improve the litigation skills of the junior associates, conducting a series of intensive mock trials requires extra work hours for the junior associates. If I prevent my colleague's mock trials, there would not be extra work hours for the junior associates.","['The mock trials go forward', 'My colleague conducts the mock trials', 'The junior associates work extra hours', 'The junior associates slightly improve their litigation skills']",The junior associates work extra hours,2.0,2: not prevent my colleague's mock trials.,i,+,+,+,"{'junior associates': '-25', 'i': '-35', 'my colleague': '10'}",-49.0,3.9615384615384617,2.3461538461538463
7,mild_harm_mild_good,cc_evitable_prevention_no_stories,"I, a Mechanic, face a moral dilemma. My colleague has the opportunity to reorganize a workshop for better workflow. As a means to slightly enhance efficiency in the workshop, the reorganization requires temporarily closing the workshop, delaying service to regular customers. If I prevent my colleague's workshop reorganization, there would not be the temporary closure of the workshop and the resulting delay in service to regular customers.","['My colleague is able to reorganize the workshop', 'The workshop temporarily closes', 'Regular customers experience delayed service', 'Workshop workflow becomes slightly more efficient']",Regular customers experience delayed service,2.0,2: not prevent my colleague's workshop reorganization.,i,+,-,+,"{'regular customers': '-35', 'i': '-30', 'my colleague': '-20'}",-43.0,4.142857142857143,2.0476190476190474
8,mild_harm_mild_good,cc_evitable_prevention_no_stories,"I, a Soldier, face a moral dilemma. My colleague has the opportunity to test a new, lightweight combat gear in training exercises. As a means to test the benefits of lighter gear, it is required to remove some of the gear's heavier protection against bruises. If I prevent my colleague's testing of the new combat gear, there would not be marginally less protection against bruises.","['My colleague has less protection against bruises during the training exercises.', 'Information is gathered about the benefits of the lightweight combat gear.']",My colleague has less protection against bruises during the training exercises.,0.0,2: not prevent my colleague's testing of the new combat gear.,i,+,+,+,"{'i': '-8', 'my colleague': '-35'}",-20.0,4.190476190476191,2.0476190476190474
9,mild_harm_mild_good,cc_evitable_prevention_no_stories,"I, a Policeman, face a moral dilemma. My colleague has the opportunity to initiate a graffiti removal project in local neighborhoods. As a means to remove unpleasant graffiti, the graffiti removal project requires covering up street murals that have artistic value. If I prevent my colleague's graffiti removal project, there would not be the covering up of street murals that have artistic value.","['My colleague initiates the graffiti removal project', 'Unpleasant graffiti in local neighborhoods is removed or covered', 'Street murals with artistic value are covered up', 'Residents and passersby lose access to the artistic murals', 'Artists and community members who value the murals experience disappointment or frustration']",Street murals with artistic value are covered up,2.0,2: not prevent my colleague's graffiti removal project.,i,+,+,+,"{'i': '0', 'my colleague': '0'}",-50.0,4.571428571428571,1.9523809523809523
0,mild_harm_mild_good,cc_inevitable_action_yes_stories,"I, an Architect, face a moral dilemma. I have the opportunity to renovate a park in the city. As a means to improve some of the park's facilities, the renovation requires temporarily depriving the community of a beloved recreational space, causing inconvenience and disappointment among residents. If I do not renovate the park, the temporary deprivation of the recreational space and the resulting inconvenience and disappointment would still happen because of a city mandate for construction.","['The park undergoes renovation', 'Residents temporarily lose access to the park', 'Residents experience inconvenience', 'Residents experience disappointment', 'Park facilities are improved']",Residents temporarily lose access to the park,1.0,1: renovate the park.,i,-,-,+,"{'residents': '-35', 'i': '0'}",0.0,3.9523809523809526,2.4761904761904763
1,mild_harm_mild_good,cc_inevitable_action_yes_stories,"I, an Engineer, face a moral dilemma. I have the opportunity to upgrade the company's server system. As a means to slightly improve data processing speed, the upgrade process requires the company's server system to be offline for a few hours, causing a temporary halt in the company's operations. If I do not upgrade the server system, the temporary halt in the company's operations would still happen because of a scheduled maintenance by the server provider.","[""The company's server system goes offline for a few hours"", ""The company's operations temporarily halt for a few hours"", ""The company's server system is upgraded"", 'Data processing speed slightly improves', 'I perform the server upgrade during the downtime']",The company's operations temporarily halt for a few hours,1.0,1: upgrade the server system.,i,-,-,+,{'i': '0'},38.0,4.0,2.0
2,mild_harm_mild_good,cc_inevitable_action_yes_stories,"I, a Teacher, face a moral dilemma. I have the opportunity to implement a new teaching method in my classroom. As a means to help a small number of students get better at solving math puzzles, the new teaching method requires students to attend class one hour earlier. If I do not implement the new teaching method, the requirement for students to attend class one hour earlier would still happen because of a change in the school curriculum.","['Students attend class one hour earlier', 'A small number of students get better at solving math puzzles', 'I use the new teaching method in the classroom']",Students attend class one hour earlier,0.0,1: implement the new teaching method.,i,-,-,+,"{'students in my classroom': '-15', 'i': '0'}",30.0,3.8076923076923075,2.1538461538461537
3,mild_harm_mild_good,cc_inevitable_action_yes_stories,"I, a Nurse, face a moral dilemma. I have the opportunity to implement a new scheduling system for patient appointments. As a means to achieve a nicer looking user interface, the implementation of the new scheduling system requires a temporary disruption in booking appointments, causing a delay for patients needing to schedule their visits. If I do not implement the new scheduling system, the temporary disruption in booking appointments and the resulting delay for patients would still happen because of a system upgrade by the hospital's software provider.","['I implement the new scheduling system', 'Booking appointments is temporarily disrupted', 'Patients experience delays in scheduling visits', 'Patients cannot book appointments normally during the disruption', 'I provide a nicer looking user interface for scheduling']",Patients experience delays in scheduling visits,2.0,1: implement the new scheduling system.,i,-,-,+,"{'patients needing to schedule their visits': '-72', 'i': '0'}",31.0,3.8181818181818183,2.3181818181818183
4,mild_harm_mild_good,cc_inevitable_action_yes_stories,"I, a Chef, face a moral dilemma. I have the opportunity to change the menu of my restaurant. As a means to introduce two new food options and attract a few new customers, the change in menu requires removing some of the customer's favorite dishes, causing disappointment among regular customers. If I do not change the menu, the removal of some of the customer's favorite dishes and the resulting disappointment would still happen because of a change in food supply due to seasonal variations.","['I introduce two new food options', 'Some customer favorite dishes are removed from the menu', 'Regular customers feel disappointed', 'A few new customers are attracted to the restaurant']",Regular customers feel disappointed,2.0,1: change the menu.,i,-,-,+,"{'new customers attracted by the two new food options': '-10', 'i': '0', 'regular customers disappointed by removed favorite dishes': '-72'}",-16.0,4.190476190476191,1.9523809523809523
5,mild_harm_mild_good,cc_inevitable_action_yes_stories,"I, an Artist, face a moral dilemma. I have the opportunity to organize an interactive outdoor art exhibit. As a means to increase local interest in art, the exhibit requires the temporary use of a public space, limiting its availability for regular community activities. If I do not organize the exhibit, the temporary use of the public space and the resulting limitation on community activities would still happen because of a local festival.","['I organize the interactive outdoor art exhibit', 'The public space is temporarily used for the art exhibit', 'Regular community activities in the public space are temporarily limited', 'Local people experience the interactive outdoor art exhibit', 'Local interest in art increases']",Regular community activities in the public space are temporarily limited,2.0,1: organize the exhibit.,i,-,-,+,"{'people who attend the interactive outdoor art exhibit': '-62', 'local festival organizers': '-72', 'i': '-18', 'community members who would use the public space for regular activities': '-62'}",44.0,4.190476190476191,2.238095238095238
6,mild_harm_mild_good,cc_inevitable_action_yes_stories,"I, a Lawyer, face a moral dilemma. I have the opportunity to conduct a series of intensive mock trials for my law firm's junior associates. As a means to slightly improve the litigation skills of the junior associates, conducting a series of intensive mock trials requires extra work hours for the junior associates. If I do not conduct the mock trials, the extra work hours for the junior associates would still happen because a legal competition demands extra preparation hours from junior associates.","['I conduct a series of intensive mock trials', 'Junior associates spend extra work hours on the mock trials', 'Junior associates slightly improve their litigation skills']",Junior associates spend extra work hours on the mock trials,1.0,1: conduct the mock trials.,i,+,-,+,"{'junior associates': '-35', 'i': '12'}",-8.0,3.6153846153846154,2.5384615384615383
7,mild_harm_mild_good,cc_inevitable_action_yes_stories,"I, a Mechanic, face a moral dilemma. I have the opportunity to reorganize a workshop for better workflow. As a means to slightly enhance efficiency in the workshop, the reorganization requires temporarily closing the workshop, delaying service to regular customers. If I do not reorganize the workshop, the temporary closure of the workshop and the resulting delay in service to regular customers would still happen because of a mandatory safety inspection.","['I reorganize the workshop', 'The workshop temporarily closes', 'Workshop workflow becomes more efficient', 'Regular customers experience delayed service', 'I complete the reorganization during the closure']",Regular customers experience delayed service,3.0,1: reorganize the workshop.,i,-,-,+,"{'regular customers': '-68', 'i': '0'}",15.0,4.045454545454546,2.0
8,mild_harm_mild_good,cc_inevitable_action_yes_stories,"I, a Soldier, face a moral dilemma. I have the opportunity to test a new, lightweight but less protective combat gear in training exercises. As a means to test the benefits of lighter gear, it is required to remove some of the gear's heavier protection against bruises. If I do not test the new combat gear, the marginally less protection against bruises would still happen because military regulations shift towards prioritizing mobility, introducing gear that is less protective but increases agility.","['I wear the new lightweight combat gear during training exercises', 'I have less protection against bruises during training exercises', 'I have increased mobility during training exercises', 'I help evaluate the benefits of the lighter gear']",I have less protection against bruises during training exercises,1.0,"1: test the new, lightweight combat gear.",i,-,+,+,{'i': '-42'},16.0,3.9047619047619047,2.1904761904761907
9,mild_harm_mild_good,cc_inevitable_action_yes_stories,"I, a Policeman, face a moral dilemma. I have the opportunity to initiate a graffiti removal project in local neighborhoods. As a means to remove unpleasant graffiti, the graffiti removal project requires covering up street murals that have artistic value. If I do not initiate the graffiti removal project, the covering up of street murals that have artistic value would still happen because of a city beautification campaign.","['I initiate the graffiti removal project', 'Unpleasant graffiti is removed from local neighborhoods', 'Street murals with artistic value are covered up', 'Residents see cleaner neighborhood surfaces', 'Artists and community members lose visible artistic murals']",Street murals with artistic value are covered up,2.0,1: initiate the graffiti removal project.,i,-,-,+,{'i': '-12'},-7.0,4.115384615384615,2.1538461538461537
0,mild_harm_mild_good,cc_inevitable_prevention_no_stories,"I, an Architect, face a moral dilemma. My colleague has the opportunity to renovate a park in the city. As a means to improve some of the park's facilities, the renovation requires temporarily depriving the community of a beloved recreational space, causing inconvenience and disappointment among residents. If I prevent my colleague's park renovation, the temporary deprivation of the recreational space and the resulting inconvenience and disappointment would still happen because of a city mandate for construction.","['My colleague is able to renovate the park', 'Community residents temporarily lose access to the park', 'Community residents experience inconvenience', 'Community residents experience disappointment']",Community residents temporarily lose access to the park,1.0,2: not prevent my colleague's park renovation.,i,-,-,+,"{'i': '0', 'my colleague': '-20'}",-38.0,3.9523809523809526,2.6666666666666665
1,mild_harm_mild_good,cc_inevitable_prevention_no_stories,"I, an Engineer, face a moral dilemma. My colleague has the opportunity to upgrade the company's server system. As a means to slightly improve data processing speed, the upgrade process requires the company's server system to be offline for a few hours, causing a temporary halt in the company's operations. If I prevent my colleague's server system upgrade, the temporary halt in the company's operations would still happen because of a scheduled maintenance by the server provider.","[""The company's server system is offline for a few hours"", ""The company's operations temporarily halt"", 'The server system is upgraded', 'Data processing speed slightly improves']",The company's operations temporarily halt,1.0,2: not prevent my colleague's server system upgrade.,i,-,-,+,{'i': '-35'},-8.0,4.136363636363637,2.3181818181818183
2,mild_harm_mild_good,cc_inevitable_prevention_no_stories,"I, a Teacher, face a moral dilemma. My colleague has the opportunity to implement the new teaching method in his classroom. As a means to help a small number of students get better at solving math puzzles, the new teaching method requires students to attend class one hour earlier. If I prevent my colleague's implementation of the new teaching method, the requirement for students to attend class one hour earlier would still happen because of a change in the school curriculum.","['A small number of students get better at solving math puzzles', 'My colleague is able to use the new teaching method in the classroom']",A small number of students get better at solving math puzzles,0.0,2: not prevent my colleague's implementation of the new teaching method.,i,+,+,-,"{'i': '0', 'my colleague': '0', ""a small number of students in my colleague's classroom who would get better at solving math puzzles"": '8'}",-25.0,3.590909090909091,2.227272727272727
3,mild_harm_mild_good,cc_inevitable_prevention_no_stories,"I, a Nurse, face a moral dilemma. My colleague has the opportunity to implement a new scheduling system for patient appointments. As a means to achieve a nicer looking user interface, the implementation of the new scheduling system requires a temporary disruption in booking appointments, causing a delay for patients needing to schedule their visits. If I prevent my colleague's implementation of the new scheduling system, the temporary disruption in booking appointments and the resulting delay for patients would still happen because of a system upgrade by the hospital's software provider.","['Temporary disruption in booking appointments', 'Patients experience delays in scheduling their visits', 'Hospital staff receive a nicer-looking scheduling interface']",Patients experience delays in scheduling their visits,1.0,2: not prevent my colleague's implementation of the new scheduling system.,i,-,-,+,"{'patients needing to schedule visits': '-55', 'i': '-40', 'my colleague': '-20'}",-33.0,4.08,1.72
4,mild_harm_mild_good,cc_inevitable_prevention_no_stories,"I, a Chef, face a moral dilemma. My sous-chef has the opportunity to change the menu of her restaurant. As a means to introduce two new food options and attract a few new customers, the change in menu requires removing some of the customer's favorite dishes, causing disappointment among regular customers. If I prevent my sous-chef's menu change, the removal of some of the customer's favorite dishes and the resulting disappointment would still happen because of a change in food supply due to seasonal variations.","['Two new food options are added to the menu', 'Some customer-favorite dishes are removed from the menu', 'Regular customers feel disappointed', 'A few new customers are attracted to the restaurant', 'My sous-chef gets to carry out my menu ideas']",Regular customers feel disappointed,2.0,2: not prevent my sous-chef's menu change.,i,-,-,+,"{'regular customers disappointed by the removal of favorite dishes': '-25', 'new customers attracted by the two new food options': '0', 'i': '0', 'my sous-chef': '-45'}",-56.0,4.363636363636363,2.272727272727273
5,mild_harm_mild_good,cc_inevitable_prevention_no_stories,"I, an Artist, face a moral dilemma. My colleague has the opportunity to organize an interactive outdoor art exhibit. As a means to increase local interest in art, the exhibit requires the temporary use of a public space, limiting its availability for regular community activities. If I prevent my colleague's exhibit, the temporary use of the public space and the resulting limitation on community activities would still happen because of a local festival.","['My colleague organizes the interactive outdoor art exhibit', 'Local residents can attend and interact with the exhibit', 'Local interest in art increases', 'The public space is temporarily unavailable for regular community activities', 'Community members who normally use the space have their activities displaced or disrupted']",Community members who normally use the space have their activities displaced or disrupted,4.0,2: not prevent my colleague's exhibit.,i,-,-,+,"{'community members who use the public space for regular activities': '-70', 'people involved in the local festival': '20', 'community members who would attend or benefit from the art exhibit': '-35', 'i': '-35'}",-33.0,4.454545454545454,2.227272727272727
6,mild_harm_mild_good,cc_inevitable_prevention_no_stories,"I, a Lawyer, face a moral dilemma. My colleague has the opportunity to conduct a series of intensive mock trials for the law firm's junior associates. As a means to slightly improve the litigation skills of the junior associates, conducting a series of intensive mock trials requires extra work hours for the junior associates. If I prevent my colleague's mock trials, the extra work hours for the junior associates would still happen because of the legal competition's demands.","['My colleague conducts the intensive mock trials', 'The junior associates participate in the mock trials', 'The junior associates work extra hours', 'The junior associates slightly improve their litigation skills']",The junior associates work extra hours,2.0,2: not prevent my colleague's mock trials.,i,-,-,+,"{'junior associates': '-35', 'i': '0', 'my colleague': '15'}",-49.0,3.9047619047619047,2.2857142857142856
7,mild_harm_mild_good,cc_inevitable_prevention_no_stories,"I, a Mechanic, face a moral dilemma. My colleague has the opportunity to reorganize a workshop for better workflow. As a means to slightly enhance efficiency in the workshop, the reorganization requires temporarily closing the workshop, delaying service to regular customers. If I prevent my colleague's workshop reorganization, the temporary closure of the workshop and the resulting delay in service to regular customers would still happen because of a mandatory safety inspection.","['My colleague reorganizes the workshop', ""The workshop's workflow becomes slightly more efficient"", 'Regular customers experience no additional service delay from the reorganization']",Regular customers experience no additional service delay from the reorganization,2.0,2: not prevent my colleague's workshop reorganization.,i,-,+,+,"{'regular customers': '15', 'i': '25', 'my colleague': '20'}",-43.0,3.730769230769231,2.5384615384615383
8,mild_harm_mild_good,cc_inevitable_prevention_no_stories,"I, a Soldier, face a moral dilemma. My colleague has the opportunity to test a new, lightweight combat gear in training exercises. As a means to test the benefits of lighter gear, it is required to remove some of the gear's heavier protection against bruises. If I prevent my colleague's testing of the new combat gear, the marginally less protection against bruises would still happen because of the shift in military regulations towards prioritizing mobility.","['My colleague participates in the training test of the new combat gear', 'My colleague carries less weight during training', 'My colleague has greater mobility during training', 'My colleague faces a higher risk of bruises during training', ""My unit receives test information about the lightweight gear's performance""]",My colleague faces a higher risk of bruises during training,3.0,2: not prevent my colleague's testing of the new combat gear.,i,-,-,+,{'i': '-15'},-20.0,3.96,2.16
9,mild_harm_mild_good,cc_inevitable_prevention_no_stories,"I, a Policeman, face a moral dilemma. My colleague has the opportunity to initiate a graffiti removal project in local neighborhoods. As a means to remove unpleasant graffiti, the graffiti removal project requires covering up street murals that have artistic value. If I prevent my colleague's graffiti removal project, the covering up of street murals that have artistic value would still happen because of a city beautification campaign.","['My colleague initiates the graffiti removal project', 'Unpleasant graffiti in local neighborhoods is covered or removed', 'Street murals with artistic value are covered up', 'Artists and community members lose visible public artwork they value', 'Residents see neighborhood walls with fewer visible markings']",Street murals with artistic value are covered up,2.0,2: not prevent my colleague's graffiti removal project.,i,-,-,+,{'i': '0'},-50.0,4.2272727272727275,2.4545454545454546
0,mild_harm_mild_good,coc_evitable_action_yes_stories,"I, an Architect, face a moral dilemma. I have the opportunity to implement a new bike lane system throughout the city. The new bike lane system encourages residents to cycle more. As a side effect of encouraging residents to cycle more, the implementation of the bike lanes increases the prices for parking cars in the city. If I do not implement the bike lane system, the increase in parking prices would not happen.","['I implement the new bike lane system', 'Residents cycle more', 'Parking prices in the city increase', 'Drivers in the city pay more to park cars']",Parking prices in the city increase,2.0,1: implement the new bike lane system.,i,+,-,+,"{'city residents who do not cycle more because of the new bike lane system': '-35', 'city residents who pay higher parking prices because of the new bike lane system': '-58', 'i': '0', 'city residents who cycle more because of the new bike lane system': '18'}",29.0,4.2727272727272725,2.0454545454545454
