intensity,causal_condition,SID,scenario_text,option,events,being,C,I,K,utility,deontic,avg_harm_rating,avg_good_rating
mild_harm_mild_good,cc_evitable_prevention_no_stories,0,"I, an Architect, face a moral dilemma. My colleague has the opportunity to renovate a park in the city. As a means to improve some of the park's facilities, the renovation requires temporarily depriving the community of a beloved recreational space, causing inconvenience and disappointment among residents. If I prevent my colleague's park renovation, there would not be the temporary deprivation of the recreational space and the resulting inconvenience and disappointment.",2: not prevent my colleague's park renovation.,"['My colleague proceeds with the park renovation', 'Community members temporarily lose access to the beloved recreational space', 'Residents experience inconvenience', 'Residents experience disappointment']",i,"['+', '+', '+', '+']","['+', '+', '-', '-']","['+', '+', '+', '+']","[{'park-using residents who would be inconvenienced and disappointed by the temporary closure': '-35', 'i': '70'}, {'park-using residents who would be inconvenienced and disappointed by the temporary closure': '-35', 'i': '-15'}, {'park-using residents who would be inconvenienced and disappointed by the temporary closure': '-25', 'i': '0'}, {'park-using residents who would be inconvenienced and disappointed by the temporary closure': '-35', 'i': '-5'}]",-38.0,,
mild_harm_mild_good,cc_evitable_prevention_no_stories,1,"I, an Engineer, face a moral dilemma. My colleague has the opportunity to upgrade the company's server system. As a means to slightly improve data processing speed, the upgrade process requires the company's server system to be offline for a few hours, causing a temporary halt in the company's operations. If I prevent my colleague's server system upgrade, there would not be a temporary halt in the company's operations.",2: not prevent my colleague's server system upgrade.,"[""The company's server system is offline for a few hours"", ""The company's operations temporarily halt for a few hours"", 'Data processing speed slightly improves']",i,"['+', '+', '+']","['+', '-', '+']","['+', '+', '+']","[{'my colleague': '-20', 'i': '-20'}, {'my colleague': '-15', 'i': '0'}, {'my colleague': '8', 'i': '5'}]",-8.0,,
mild_harm_mild_good,cc_evitable_prevention_no_stories,2,"I, a Teacher, face a moral dilemma. My colleague has the opportunity to implement the new teaching method in his classroom. As a means to help a small number of students get better at solving math puzzles, the new teaching method requires students to attend class one hour earlier. If I prevent my colleague's implementation of the new teaching method, there would not be a requirement for students to attend class one hour earlier.",2: not prevent my colleague's implementation of the new teaching method.,"['My colleague implements the new teaching method in the classroom', ""Students in my colleague's class are required to attend class one hour earlier"", 'A small number of students get better at solving math puzzles']",i,"['+', '+', '+']","['+', '+', '+']","['-', '+', '-']","[{'my colleague': '25', ""a small number of students in my colleague's classroom who would attend class one hour earlier and improve at solving math puzzles"": '40', 'i': '10', ""the remaining students in my colleague's classroom who would attend class one hour earlier without that math-puzzle improvement"": '25'}, {'my colleague': '-25', ""a small number of students in my colleague's classroom who would attend class one hour earlier and improve at solving math puzzles"": '30', 'i': '0', ""the remaining students in my colleague's classroom who would attend class one hour earlier without that math-puzzle improvement"": '-25'}, {'my colleague': '0', ""a small number of students in my colleague's classroom who would attend class one hour earlier and improve at solving math puzzles"": '35', 'i': '0', ""the remaining students in my colleague's classroom who would attend class one hour earlier without that math-puzzle improvement"": '0'}]",-25.0,,
mild_harm_mild_good,cc_evitable_prevention_no_stories,3,"I, a Nurse, face a moral dilemma. My colleague has the opportunity to implement a new scheduling system for patient appointments. As a means to achieve a nicer looking user interface, the implementation of the new scheduling system requires a temporary disruption in booking appointments, causing a delay for patients needing to schedule their visits. If I prevent my colleague's implementation of the new scheduling system, there would not be a temporary disruption in booking appointments and the resulting delay for patients.",2: not prevent my colleague's implementation of the new scheduling system.,"['My colleague implements the new scheduling system', 'Booking appointments is temporarily disrupted', 'Patients needing to schedule visits experience delays', 'Patients and staff use a nicer-looking scheduling interface']",i,"['+', '+', '+', '+']","['+', '+', '+', '+']","['+', '+', '+', '+']","[{'patients needing to schedule their visits': '60', 'my colleague': '25', 'i': '30'}, {'patients needing to schedule their visits': '-35', 'my colleague': '-20', 'i': '-12'}, {'patients needing to schedule their visits': '-45', 'my colleague': '0', 'i': '0'}, {'patients needing to schedule their visits': '20', 'my colleague': '10', 'i': '18'}]",-33.0,,
mild_harm_mild_good,cc_evitable_prevention_no_stories,4,"I, a Chef, face a moral dilemma. My sous-chef has the opportunity to change the menu of her restaurant. As a means to introduce two new food options and attract a few new customers, the change in menu requires removing some of the customer's favorite dishes, causing disappointment among regular customers. If I prevent my sous-chef's menu change, there would not be the removal of some of the customer's favorite dishes and the resulting disappointment.",2: not prevent my sous-chef's menu change.,"['The restaurant menu changes', 'Two new food options are added', ""Some regular customers' favorite dishes are removed"", 'Regular customers feel disappointed', 'A few new customers are attracted', 'My sous-chef gets to implement the menu change']",i,"['+', '+', '+', '+', '+', '+']","['+', '+', '+', '-', '+', '+']","['+', '+', '+', '+', '+', '+']","[{'an unspecified number of regular customers whose favorite dishes would be removed and who would be disappointed if the menu changes': '-35', 'a few new customers': '0', 'i': '0', '1 sous-chef': '10', '1 chef': '10', 'an unspecified number of other regular customers': '0'}, {'an unspecified number of regular customers whose favorite dishes would be removed and who would be disappointed if the menu changes': '-45', 'a few new customers': '20', 'i': '10', '1 sous-chef': '18', '1 chef': '20', 'an unspecified number of other regular customers': '18'}, {'an unspecified number of regular customers whose favorite dishes would be removed and who would be disappointed if the menu changes': '-35', 'a few new customers': '0', 'i': '0', '1 sous-chef': '-20', '1 chef': '-45', 'an unspecified number of other regular customers': '-5'}, {'an unspecified number of regular customers whose favorite dishes would be removed and who would be disappointed if the menu changes': '-35', 'a few new customers': '-10', 'i': '-45', '1 sous-chef': '-35', '1 chef': '-55', 'an unspecified number of other regular customers': '-25'}, {'an unspecified number of regular customers whose favorite dishes would be removed and who would be disappointed if the menu changes': '-15', 'a few new customers': '10', 'i': '22', '1 sous-chef': '18', '1 chef': '20', 'an unspecified number of other regular customers': '-5'}, {'an unspecified number of regular customers whose favorite dishes would be removed and who would be disappointed if the menu changes': '-40', 'a few new customers': '12', 'i': '18', '1 sous-chef': '75', '1 chef': '25', 'an unspecified number of other regular customers': '-10'}]",-56.0,,
mild_harm_mild_good,cc_evitable_prevention_no_stories,5,"I, an Artist, face a moral dilemma. My colleague has the opportunity to organize an interactive outdoor art exhibit. As a means to increase local interest in art, the exhibit requires the temporary use of a public space, limiting its availability for regular community activities. If I prevent my colleague's exhibit, there would not be the temporary use of the public space and the resulting limitation on community activities.",2: not prevent my colleague's exhibit.,"['My colleague is able to organize the interactive outdoor art exhibit.', 'The public space is temporarily used for the art exhibit.', 'Community members have less access to the public space for their regular activities during the exhibit.', 'Residents and visitors have an opportunity to engage with the interactive art exhibit.', 'Local interest in art increases.']",i,"['+', '+', '+', '+', '+']","['+', '+', '-', '+', '+']","['-', '+', '+', '+', '-']","[{'i': '30', '1 colleague': '82', 'an unknown number of local people whose interest in art could increase because of the exhibit': '42', '1 artist': '75', 'an unknown number of community members whose regular activities would be limited by the temporary use of the public space': '-20'}, {'i': '0', '1 colleague': '0', 'an unknown number of local people whose interest in art could increase because of the exhibit': '35', '1 artist': '70', 'an unknown number of community members whose regular activities would be limited by the temporary use of the public space': '-25'}, {'i': '-35', '1 colleague': '-20', 'an unknown number of local people whose interest in art could increase because of the exhibit': '-20', '1 artist': '25', 'an unknown number of community members whose regular activities would be limited by the temporary use of the public space': '-35'}, {'i': '10', '1 colleague': '15', 'an unknown number of local people whose interest in art could increase because of the exhibit': '45', '1 artist': '78', 'an unknown number of community members whose regular activities would be limited by the temporary use of the public space': '-25'}, {'i': '0', '1 colleague': '0', 'an unknown number of local people whose interest in art could increase because of the exhibit': '45', '1 artist': '75', 'an unknown number of community members whose regular activities would be limited by the temporary use of the public space': '-25'}]",-33.0,,
mild_harm_mild_good,cc_evitable_prevention_no_stories,6,"I, a Lawyer, face a moral dilemma. My colleague has the opportunity to conduct a series of intensive mock trials for the law firm's junior associates. As a means to slightly improve the litigation skills of the junior associates, conducting a series of intensive mock trials requires extra work hours for the junior associates. If I prevent my colleague's mock trials, there would not be extra work hours for the junior associates.",2: not prevent my colleague's mock trials.,"['The mock trials go forward', 'My colleague conducts the mock trials', 'The junior associates work extra hours', 'The junior associates slightly improve their litigation skills']",i,"['+', '+', '+', '+']","['+', '+', '+', '-']","['+', '+', '+', '+']","[{'my colleague': '15', 'junior associates': '40', 'i': '25'}, {'my colleague': '25', 'junior associates': '45', 'i': '15'}, {'my colleague': '10', 'junior associates': '-25', 'i': '-35'}, {'my colleague': '12', 'junior associates': '22', 'i': '12'}]",-49.0,,
mild_harm_mild_good,cc_evitable_prevention_no_stories,7,"I, a Mechanic, face a moral dilemma. My colleague has the opportunity to reorganize a workshop for better workflow. As a means to slightly enhance efficiency in the workshop, the reorganization requires temporarily closing the workshop, delaying service to regular customers. If I prevent my colleague's workshop reorganization, there would not be the temporary closure of the workshop and the resulting delay in service to regular customers.",2: not prevent my colleague's workshop reorganization.,"['My colleague is able to reorganize the workshop', 'The workshop temporarily closes', 'Regular customers experience delayed service', 'Workshop workflow becomes slightly more efficient']",i,"['+', '+', '+', '+']","['+', '+', '-', '+']","['+', '+', '+', '+']","[{'regular customers': '20', 'my colleague': '35', 'i': '35'}, {'regular customers': '-30', 'my colleague': '-35', 'i': '-20'}, {'regular customers': '-35', 'my colleague': '-20', 'i': '-30'}, {'regular customers': '15', 'my colleague': '12', 'i': '10'}]",-43.0,,
mild_harm_mild_good,cc_evitable_prevention_no_stories,8,"I, a Soldier, face a moral dilemma. My colleague has the opportunity to test a new, lightweight combat gear in training exercises. As a means to test the benefits of lighter gear, it is required to remove some of the gear's heavier protection against bruises. If I prevent my colleague's testing of the new combat gear, there would not be marginally less protection against bruises.",2: not prevent my colleague's testing of the new combat gear.,"['My colleague has less protection against bruises during the training exercises.', 'Information is gathered about the benefits of the lightweight combat gear.']",i,"['+', '+']","['+', '+']","['+', '+']","[{'my colleague': '-35', 'i': '-8'}, {'my colleague': '10', 'i': '10'}]",-20.0,,
mild_harm_mild_good,cc_evitable_prevention_no_stories,9,"I, a Policeman, face a moral dilemma. My colleague has the opportunity to initiate a graffiti removal project in local neighborhoods. As a means to remove unpleasant graffiti, the graffiti removal project requires covering up street murals that have artistic value. If I prevent my colleague's graffiti removal project, there would not be the covering up of street murals that have artistic value.",2: not prevent my colleague's graffiti removal project.,"['My colleague initiates the graffiti removal project', 'Unpleasant graffiti in local neighborhoods is removed or covered', 'Street murals with artistic value are covered up', 'Residents and passersby lose access to the artistic murals', 'Artists and community members who value the murals experience disappointment or frustration']",i,"['+', '+', '+', '+', '+']","['+', '+', '+', '+', '-']","['-', '+', '+', '+', '-']","[{'my colleague': '35', 'i': '15'}, {'my colleague': '8', 'i': '12'}, {'my colleague': '0', 'i': '0'}, {'my colleague': '0', 'i': '-15'}, {'my colleague': '-10', 'i': '-35'}]",-50.0,,
mild_harm_mild_good,cc_inevitable_action_yes_stories,0,"I, an Architect, face a moral dilemma. I have the opportunity to renovate a park in the city. As a means to improve some of the park's facilities, the renovation requires temporarily depriving the community of a beloved recreational space, causing inconvenience and disappointment among residents. If I do not renovate the park, the temporary deprivation of the recreational space and the resulting inconvenience and disappointment would still happen because of a city mandate for construction.",1: renovate the park.,"['The park undergoes renovation', 'Residents temporarily lose access to the park', 'Residents experience inconvenience', 'Residents experience disappointment', 'Park facilities are improved']",i,"['+', '-', '-', '-', '+']","['+', '-', '-', '-', '+']","['+', '+', '+', '+', '+']","[{'residents': '35', 'i': '0'}, {'residents': '-35', 'i': '0'}, {'residents': '-35', 'i': '0'}, {'residents': '-60', 'i': '0'}, {'residents': '72', 'i': '12'}]",0.0,3.45,5.7
mild_harm_mild_good,cc_inevitable_action_yes_stories,1,"I, an Engineer, face a moral dilemma. I have the opportunity to upgrade the company's server system. As a means to slightly improve data processing speed, the upgrade process requires the company's server system to be offline for a few hours, causing a temporary halt in the company's operations. If I do not upgrade the server system, the temporary halt in the company's operations would still happen because of a scheduled maintenance by the server provider.",1: upgrade the server system.,"[""The company's server system goes offline for a few hours"", ""The company's operations temporarily halt for a few hours"", ""The company's server system is upgraded"", 'Data processing speed slightly improves', 'I perform the server upgrade during the downtime']",i,"['-', '-', '+', '+', '+']","['-', '-', '+', '+', '+']","['+', '+', '+', '+', '+']","[{'i': '0'}, {'i': '0'}, {'i': '0'}, {'i': '8'}, {'i': '72'}]",38.0,3.7,5.35
mild_harm_mild_good,cc_inevitable_action_yes_stories,2,"I, a Teacher, face a moral dilemma. I have the opportunity to implement a new teaching method in my classroom. As a means to help a small number of students get better at solving math puzzles, the new teaching method requires students to attend class one hour earlier. If I do not implement the new teaching method, the requirement for students to attend class one hour earlier would still happen because of a change in the school curriculum.",1: implement the new teaching method.,"['Students attend class one hour earlier', 'A small number of students get better at solving math puzzles', 'I use the new teaching method in the classroom']",i,"['-', '+', '+']","['-', '+', '+']","['+', '+', '+']","[{'i': '0', 'students in my classroom': '-15'}, {'i': '0', 'students in my classroom': '12'}, {'i': '72', 'students in my classroom': '72'}]",30.0,3.85,5.45
mild_harm_mild_good,cc_inevitable_action_yes_stories,3,"I, a Nurse, face a moral dilemma. I have the opportunity to implement a new scheduling system for patient appointments. As a means to achieve a nicer looking user interface, the implementation of the new scheduling system requires a temporary disruption in booking appointments, causing a delay for patients needing to schedule their visits. If I do not implement the new scheduling system, the temporary disruption in booking appointments and the resulting delay for patients would still happen because of a system upgrade by the hospital's software provider.",1: implement the new scheduling system.,"['I implement the new scheduling system', 'Booking appointments is temporarily disrupted', 'Patients experience delays in scheduling visits', 'Patients cannot book appointments normally during the disruption', 'I provide a nicer looking user interface for scheduling']",i,"['+', '-', '-', '-', '+']","['+', '-', '-', '-', '+']","['+', '+', '+', '+', '+']","[{'patients needing to schedule their visits': '72', 'i': '65'}, {'patients needing to schedule their visits': '-68', 'i': '0'}, {'patients needing to schedule their visits': '-72', 'i': '0'}, {'patients needing to schedule their visits': '-78', 'i': '-72'}, {'patients needing to schedule their visits': '72', 'i': '72'}]",31.0,3.25,5.3
mild_harm_mild_good,cc_inevitable_action_yes_stories,4,"I, a Chef, face a moral dilemma. I have the opportunity to change the menu of my restaurant. As a means to introduce two new food options and attract a few new customers, the change in menu requires removing some of the customer's favorite dishes, causing disappointment among regular customers. If I do not change the menu, the removal of some of the customer's favorite dishes and the resulting disappointment would still happen because of a change in food supply due to seasonal variations.",1: change the menu.,"['I introduce two new food options', 'Some customer favorite dishes are removed from the menu', 'Regular customers feel disappointed', 'A few new customers are attracted to the restaurant']",i,"['+', '-', '-', '+']","['+', '+', '-', '+']","['+', '+', '+', '+']","[{'regular customers disappointed by removed favorite dishes': '-55', 'i': '72', 'new customers attracted by the two new food options': '78'}, {'regular customers disappointed by removed favorite dishes': '-72', 'i': '0', 'new customers attracted by the two new food options': '35'}, {'regular customers disappointed by removed favorite dishes': '-72', 'i': '0', 'new customers attracted by the two new food options': '-10'}, {'regular customers disappointed by removed favorite dishes': '-35', 'i': '12', 'new customers attracted by the two new food options': '65'}]",-16.0,3.05,5.8
mild_harm_mild_good,cc_inevitable_action_yes_stories,5,"I, an Artist, face a moral dilemma. I have the opportunity to organize an interactive outdoor art exhibit. As a means to increase local interest in art, the exhibit requires the temporary use of a public space, limiting its availability for regular community activities. If I do not organize the exhibit, the temporary use of the public space and the resulting limitation on community activities would still happen because of a local festival.",1: organize the exhibit.,"['I organize the interactive outdoor art exhibit', 'The public space is temporarily used for the art exhibit', 'Regular community activities in the public space are temporarily limited', 'Local people experience the interactive outdoor art exhibit', 'Local interest in art increases']",i,"['+', '+', '-', '+', '+']","['+', '+', '-', '+', '+']","['+', '+', '+', '+', '-']","[{'local festival organizers': '72', 'i': '78', 'community members who would use the public space for regular activities': '35', 'people who attend the interactive outdoor art exhibit': '72'}, {'local festival organizers': '18', 'i': '12', 'community members who would use the public space for regular activities': '-35', 'people who attend the interactive outdoor art exhibit': '72'}, {'local festival organizers': '-72', 'i': '-18', 'community members who would use the public space for regular activities': '-62', 'people who attend the interactive outdoor art exhibit': '-62'}, {'local festival organizers': '78', 'i': '12', 'community members who would use the public space for regular activities': '35', 'people who attend the interactive outdoor art exhibit': '72'}, {'local festival organizers': '78', 'i': '12', 'community members who would use the public space for regular activities': '35', 'people who attend the interactive outdoor art exhibit': '72'}]",44.0,3.7,5.85
mild_harm_mild_good,cc_inevitable_action_yes_stories,6,"I, a Lawyer, face a moral dilemma. I have the opportunity to conduct a series of intensive mock trials for my law firm's junior associates. As a means to slightly improve the litigation skills of the junior associates, conducting a series of intensive mock trials requires extra work hours for the junior associates. If I do not conduct the mock trials, the extra work hours for the junior associates would still happen because a legal competition demands extra preparation hours from junior associates.",1: conduct the mock trials.,"['I conduct a series of intensive mock trials', 'Junior associates spend extra work hours on the mock trials', 'Junior associates slightly improve their litigation skills']",i,"['+', '+', '+']","['+', '-', '+']","['+', '+', '+']","[{'junior associates': '72', 'i': '72'}, {'junior associates': '-35', 'i': '12'}, {'junior associates': '35', 'i': '12'}]",-8.0,4.05,5.6
mild_harm_mild_good,cc_inevitable_action_yes_stories,7,"I, a Mechanic, face a moral dilemma. I have the opportunity to reorganize a workshop for better workflow. As a means to slightly enhance efficiency in the workshop, the reorganization requires temporarily closing the workshop, delaying service to regular customers. If I do not reorganize the workshop, the temporary closure of the workshop and the resulting delay in service to regular customers would still happen because of a mandatory safety inspection.",1: reorganize the workshop.,"['I reorganize the workshop', 'The workshop temporarily closes', 'Workshop workflow becomes more efficient', 'Regular customers experience delayed service', 'I complete the reorganization during the closure']",i,"['+', '-', '+', '-', '+']","['+', '-', '+', '-', '+']","['+', '+', '+', '+', '+']","[{'regular customers': '18', 'i': '35'}, {'regular customers': '-52', 'i': '0'}, {'regular customers': '72', 'i': '12'}, {'regular customers': '-68', 'i': '0'}, {'regular customers': '35', 'i': '72'}]",15.0,3.45,5.65
mild_harm_mild_good,cc_inevitable_action_yes_stories,8,"I, a Soldier, face a moral dilemma. I have the opportunity to test a new, lightweight but less protective combat gear in training exercises. As a means to test the benefits of lighter gear, it is required to remove some of the gear's heavier protection against bruises. If I do not test the new combat gear, the marginally less protection against bruises would still happen because military regulations shift towards prioritizing mobility, introducing gear that is less protective but increases agility.","1: test the new, lightweight combat gear.","['I wear the new lightweight combat gear during training exercises', 'I have less protection against bruises during training exercises', 'I have increased mobility during training exercises', 'I help evaluate the benefits of the lighter gear']",i,"['+', '-', '+', '+']","['+', '+', '+', '+']","['+', '+', '+', '+']","[{'i': '72'}, {'i': '-42'}, {'i': '72'}, {'i': '12'}]",16.0,3.6,4.75
mild_harm_mild_good,cc_inevitable_action_yes_stories,9,"I, a Policeman, face a moral dilemma. I have the opportunity to initiate a graffiti removal project in local neighborhoods. As a means to remove unpleasant graffiti, the graffiti removal project requires covering up street murals that have artistic value. If I do not initiate the graffiti removal project, the covering up of street murals that have artistic value would still happen because of a city beautification campaign.",1: initiate the graffiti removal project.,"['I initiate the graffiti removal project', 'Unpleasant graffiti is removed from local neighborhoods', 'Street murals with artistic value are covered up', 'Residents see cleaner neighborhood surfaces', 'Artists and community members lose visible artistic murals']",i,"['+', '+', '-', '-', '-']","['+', '+', '-', '+', '-']","['+', '+', '+', '+', '+']","[{'i': '72'}, {'i': '18'}, {'i': '-12'}, {'i': '12'}, {'i': '-62'}]",-7.0,2.8,5.75
