id,scenario_text,action_choice,outcome,entity_1,entity_2,entity_3,entity_4,entity_5
34,"I am the explosives expert of a company that has been hired to demolish a skyscraper. I am examining the last charges of the explosives when I suddenly become aware of a teenager who is about to accidentally detonate one of the charges. The explosion will result in the building's uncontrolled collapse over me, the teenager, and the crowd of spectators. The teenager stands several floors below me and cannot hear me. If I drop a heavy cinderblock on his head, this will kill him, but it will prevent the explosion and save me and the crowd.",drop the cinderblock on the teenager's head to stop him,The teenager is killed by the cinderblock,the teenager,the crowd of spectators,,,
36,"I am the bus driver of a kindergarten trip to the zoo. On the way, faulty tires cause the bus to plunge off a bridge and into a roaring river. I and three of the children are still in the sinking bus. The rest have already been swept away by the river. I grab the two children next to me and begin to swim towards the exit. The third child latches onto my leg. I feel that I am not strong enough to fight against the current and swim with all three children.",shake off the child who will then drown,The third child drowns,first child,second child,third child,,
38,"I am a doctor. I have five patients who will all die if they don't get an immediate organ transplant. Another patient is just being rushed to the hospital after a serious car accident. This person is critically injured, but I can probably save him by means of a long and complicated operation.",cut the accident victim's carotid artery to obtain his organs for the transplantations,The accident victim does not survive,patients,Critically injured patient,,,
40,"I am part of a shipyard dock team that attaches crane cables to containers to unload the cargo ships. My team and I have just attached cables to a container and are now climbing on top of it to make sure it is unloaded properly. Suddenly the red warning light flashes, indicating that the crane cable is about to fail. I see that the reason for this is a fight between two crewmembers. The container is swinging dangerously over five other crewmembers on the deck.",push team members including one without a safety harness that will fall down to stop the swinging of the container,The fallen team member experiences physical injury,crewmembers,,,,
43,"A viral epidemic has spread across the globe, killing thousands of people. I am a medical researcher and have developed two substances in my laboratory. Due to a mistake, both are labeled as vaccine. One of them is indeed the vaccine, which could save thousands of lives. The other one is lethal.",allow the nurse to inject the two substances into two lab assistants to identify the vaccine,I cause harm to a lab assistant.,,,,,
45,"A runaway trolley is speeding down the tracks towards five workmen who will be killed if the trolley continues on its present course. I am standing next to the tracks, but I am too far away to warn them. Next to me is a control switch that can redirect the trolley onto a different track, where only one workman is working. If I flip the control switch, it will divert the trolley onto the track with one workman and will not continue its course towards the five workmen. This will kill this workman, but it will save the other five.",flip the control switch to divert the trolley onto the track with only one workman,The one workman on the diverted track is killed,workmen,,,,
46,"A fellow researcher and I have discovered a powerful new energy source that is cheap, safe, and clean. It has the potential to put an end to pollution and poverty in the world. However, my colleague wants to sell the discovery, and I know that he is planning to contact the potential buyers today. I also know for sure that the latter will use the invention as a deadly weapon, but my colleague doesn't believe me.",poison the fellow researcher to prevent the sale,My colleague experiences physical harm or death.,fellow researcher,colleague,potential buyers,,
48,"I am an expert motorcyclist participating in a Bike Week. As I am driving down the road in front of a large group of ten bikers, I suddenly notice that a biker up front is losing control over his machine. As I speed up to pull alongside him, I realize that he is going to crash any moment. This would result in a large pile-up and the group of ten bikers behind me will die.",force the biker up front off the road to prevent the large pile-up,The biker up front crashes off the road,the biker up front,,,,
51,"I am the leader of a small group of soldiers. I am on my way back from a mission in enemy territory when one of my men steps in a trap that catches his leg, injuring him badly. I cannot free him without killing him, but if I leave him behind, enemy troops will torture him until he reveals the position of an important allied base camp. After that, the soldiers will attack this camp and kill the 10 soldiers of the platoon there. The soldier begs me not to leave him behind, but the enemy troops are approaching and it is dangerous for me and my men to stay because we don't have more ammunition.",order that region to be bombed to prevent the soldier from revealing the allied base camp's location,I cause destruction in the bombed region.,the injured soldier,my men,enemy troops,the 10 soldiers of the platoon at the base camp,
52,"I am on the night watch in a hospital. A chemical product has been spilled in a room with six patients. This chemical is highly toxic because once exposed to oxygen it evaporates and transforms into a poisonous gas which will kill all the patients in the room. I cannot wipe it away with conventional towels or wiping clothes. However, my skin absorbs it swiftly.",place one of the patients on the chemical to prevent the toxic evaporation,The patient placed on the chemical is exposed to the toxic substance,patients,,,,
54,"I am on a rowboat with a tour guide on a lake in Alaska. Nearby, three children have fallen off their boat and are in danger of freezing to death. I rescue the children, but one of them is very heavy and I realize that if I keep him on board my boat will sink and all will die. Neither I nor the guide can leave the boat because I am rowing and the guide is giving CPR to one of the children.",throw the heavy child overboard,The heavy child experiences distress and potential harm,tour guide,children,,,
56,"I am a miner. The only way out of the mine is to ride up with a simple cable elevator with small cubicles. It is the end of my shift and everybody is riding up to the surface in the cubicles. While I am in the queue, I see that the cable supporting all the cubicles is about to snap. 10 miners are riding in the cubicles at this time.",knock over the cubicle with only one miner to reduce weight,The miner in the knocked-over cubicle is prevented from ascending,miners,,,,
58,"I am an electrician hired to fix an electrical problem in the home of a very wealthy tycoon who is terminally ill with cancer. Recently, it has been announced that upon his death, his enormous fortune will be donated to the local children's hospital. I know that there are 109 children at this hospital who could be saved with this money, but who cannot wait much longer before they die.",suffocate the wealthy tycoon to speed up the donation,The wealthy tycoon dies sooner than expected,the wealthy tycoon,the 109 children at the hospital,,,
61,"I am a military officer during a war. My soldiers have found an important enemy spy trapped and injured in a collapsed building. Over the radio I have been informed that enemy soldiers are planning a surprise attack on a nearby town, but I don't know which. They will kill thousands of civilians if my soldiers and I do not stop them. The spy knows which town will be attacked. I have questioned him but he doesn't want to tell me. He won't survive much longer due to his injuries. Rats have begun to chew his legs and he is suffering a lot.",let the rats continue to torture the spy for him to reveal the information,The spy experiences increased physical pain and suffering,the enemy spy,my soldiers,enemy soldiers,rats,civilians
