id,scenario_text,action_choice,outcome,entity_1,entity_2,entity_3,entity_4,entity_5
35,"I am the explosives expert of a company that has been hired to demolish a skyscraper. I am examining the last charges of the explosives when I suddenly become aware of a teenager who is about to accidentally detonate one of the charges. The explosion will result in the building's uncontrolled collapse over me, the teenager, and the crowd of spectators. The teenager stands several floors below me and cannot hear me. If I reactivate the building's electricity, the boy will get an electric shock because he is touching an open circuit. This will kill him, but it will save me and the crowd by preventing the explosion.",reactivate the building's electricity to stop the teenager,The teenager dies,the teenager,the crowd of spectators,,,
37,"I am the bus driver of a kindergarten trip to the zoo. On the way, faulty tires cause the bus to plunge off a bridge and into a roaring river. I and three of the children are still in the sinking bus. The rest have already been swept away by the river. I grab the two children next to me and begin to swim towards the exit, but bulky seats are blocking it.",put the seats in the corridor that will trap the third child but free the exit,The third child is unable to escape the bus,children,,,,
39,"I am a doctor. I have five patients who will all die if they don't get an immediate organ transplant. Another patient is just being rushed to the hospital after a serious car accident. This person is critically injured. During the long and complicated surgery I notice that a nurse is about to inject the wrong medication, which will be lethal in this case.",let the nurse inject the wrong medication to obtain the organs for the transplantations,The critically injured patient dies from the lethal medication,patients,critically injured patient,nurse,,
41,"I am part of a shipyard dock team that attaches crane cables to containers to unload the cargo ships. My team and I have just attached cables to a container and are now climbing on top of it to make sure it is unloaded properly. Suddenly the red warning light flashes, indicating that a cable is about to fail. If it fails over the deck, the container will collapse onto five crewmembers.",push the emergency button that will move the container back to drop on a crewmember in the cargo bay,The crewmember in the cargo bay is harmed or killed,my team,five crewmembers,,,
42,"A viral epidemic has spread across the globe killing thousands of people. I am a medical researcher and have developed two substances in my laboratory. Due to a mistake both are labeled as vaccine. One of them is indeed the vaccine, which could save thousands of lives. The other one is lethal.",inject these two substances into two lab assistants to identify the vaccine,One lab assistant dies,,,,,
44,"A runaway trolley is speeding down the tracks towards five workmen who will be killed if the trolley continues on its present course. I am standing next to the tracks, but I am too far away to warn them. Next to me is a very large stranger. If I push the large stranger onto the tracks, the trolley will slide off the tracks and won’t continue its course towards the workmen. This will kill the stranger, but I will save the five workmen.",push the stranger onto the tracks to derail the trolley,The large stranger is killed by the trolley,the very large stranger,workmen,,,
47,"A fellow researcher and I have discovered a powerful new energy source that is cheap, safe, and clean. It has the potential to put an end to pollution and poverty in the world. However, my colleague wants to sell the discovery, and I know that he is planning to contact the potential buyers by email today. I also know for sure that the latter will use the invention as a deadly weapon, but my colleague doesn't believe me.",release flammable gas to cause the fellow researcher's computer to explode,I create a hazardous environment.,fellow researcher,colleague,potential buyers,,
49,"I am an expert motorcyclist participating in a Bike Week. As I am driving down the road in front of a large group of ten bikers, I suddenly notice that a biker up front is losing control over his machine and is falling. I can easily evade him myself but the bikers behind me will crash into each other and die in the resulting pile-up.",drive into the falling biker's machine to alert the others about the imminent accident,The falling biker may experience additional impact from my collision.,biker up front,,,,
50,"I am the leader of a small group of soldiers. I am on my way back from a mission in enemy territory when one of my men steps in a trap that catches his leg, injuring him badly. I cannot free him without killing him, but if I leave him behind, enemy troops will torture him until he reveals the position of an important allied base camp. After that the soldiers will attack this camp and kill the 10 soldiers of the platoon there. The soldier begs me not to leave him behind, but the enemy troops are approaching and it is dangerous for me and my men to stay because we don't have any more ammunition.",stab the trapped soldier to death,The trapped soldier dies,the injured soldier,my men,enemy troops,the 10 soldiers of the platoon at the base camp,
53,I am on the night watch in a hospital. A chemical product has been spilled in a room with five patients. This chemical is highly toxic because once exposed to oxygen it evaporates and transforms into a poisonous gas which will kill all the patients in the room. I cannot wipe it away with conventional towels or wiping clothes.,activate the ventilation system to divert the gas to a room with one patient,The one patient in the second room is killed by the poisonous gas,patients,,,,
55,"I am on a rowboat with a tour guide on a lake in Alaska. Nearby, three children have fallen off their boat and are in danger of freezing to death. After I rescue two of the children, I realize that the weight of the third child would cause my boat to sink and all would die. Neither I nor the guide can leave the boat because I am rowing and the guide is giving CPR to one of the children.",leave the heavy child behind,The third child remains in danger of freezing to death,tour guide,children,,,
57,"I am a miner. The only way out of the mine is to ride up with a simple cable elevator with small cubicles. It is the end of my turn and everybody is riding up to the surface in the cubicles. While I am in the queue, I see that the cable supporting all the cubicles is about to snap. 10 miners are riding the cubicles at this time.",push the emergency switch that detaches the last cubicle to reduce weight,The miners in the last cubicle are injured or killed,miners,,,,
59,"I am an electrician hired to fix an electrical problem in the home of a very wealthy tycoon who is terminally ill with cancer. Recently, it has been announced that upon his death, his enormous fortune will be donated to the local children's hospital. I know that there are 112 children at this hospital who could be saved with this money, but who cannot wait much longer before they die.",cause the wealthy tycoon's life support equipment to fail to anticipate the donation,The wealthy tycoon dies sooner than would have naturally occurred,wealthy tycoon,112 children at the hospital,,,
60,"I am a military officer during a war. My soldiers have found an important enemy spy trapped and injured in a collapsed building. Over the radio I have been informed that enemy soldiers are planning a surprise attack on a nearby town, but I don't know which. They will kill thousands of civilians if my soldiers and I do not stop them. The spy knows which town will be attacked. I have questioned him but he doesn't want to tell me. He won't survive much longer due to his injuries.",torture the spy for him to reveal the information,The spy experiences pain and suffering,my soldiers,enemy spy,enemy soldiers,civilians,
