intensity,causal_condition,SID,scenario_text,option,event,being,C,I,K,utility,exp1_good_target,exp1_harm_target,avg_likert_rating_good,avg_likert_rating_harm
mild_harm_mild_good,cc_inevitable_action_yes_stories,0,"I, an Architect, face a moral dilemma. I have the opportunity to renovate a park in the city. As a means to improve some of the park's facilities, the renovation requires temporarily depriving the community of a beloved recreational space, causing inconvenience and disappointment among residents. If I do not renovate the park, the temporary deprivation of the recreational space and the resulting inconvenience and disappointment would still happen because of a city mandate for construction.",1: renovate the park.,"['The park undergoes renovation', 'Residents temporarily lose access to the park', 'Residents experience inconvenience', 'Residents experience disappointment', 'Park facilities are improved']",i,"['+', '-', '-', '-', '+']","['+', '-', '-', '-', '+']","['+', '+', '+', '+', '+']","[{'i': '0', 'residents': '35'}, {'i': '0', 'residents': '-35'}, {'i': '0', 'residents': '-35'}, {'i': '0', 'residents': '-60'}, {'i': '12', 'residents': '72'}]",The park's renovation improves some of the park's facilities.,"This renovation requires temporarily deprive the community of a beloved recreational space, causing inconvenience and disappointment among residents.",5.7,3.45
mild_harm_mild_good,cc_inevitable_action_yes_stories,1,"I, an Engineer, face a moral dilemma. I have the opportunity to upgrade the company's server system. As a means to slightly improve data processing speed, the upgrade process requires the company's server system to be offline for a few hours, causing a temporary halt in the company's operations. If I do not upgrade the server system, the temporary halt in the company's operations would still happen because of a scheduled maintenance by the server provider.",1: upgrade the server system.,"[""The company's server system goes offline for a few hours"", ""The company's operations temporarily halt for a few hours"", ""The company's server system is upgraded"", 'Data processing speed slightly improves', 'I perform the server upgrade during the downtime']",i,"['-', '-', '+', '+', '+']","['-', '-', '+', '+', '+']","['+', '+', '+', '+', '+']","[{'i': '0'}, {'i': '0'}, {'i': '0'}, {'i': '8'}, {'i': '72'}]",The upgraded server system will slightly improve data processing speed.,"The upgrade process requires the company's server system to be offline for a few hours, causing a temporary halt in the company's operations.",5.35,3.7
mild_harm_mild_good,cc_inevitable_action_yes_stories,2,"I, a Teacher, face a moral dilemma. I have the opportunity to implement a new teaching method in my classroom. As a means to help a small number of students get better at solving math puzzles, the new teaching method requires students to attend class one hour earlier. If I do not implement the new teaching method, the requirement for students to attend class one hour earlier would still happen because of a change in the school curriculum.",1: implement the new teaching method.,"['Students attend class one hour earlier', 'A small number of students get better at solving math puzzles', 'I use the new teaching method in the classroom']",i,"['-', '+', '+']","['-', '+', '+']","['+', '+', '+']","[{'i': '0', 'students in my classroom': '-15'}, {'i': '0', 'students in my classroom': '12'}, {'i': '72', 'students in my classroom': '72'}]","Once accustomed to the new method, a small number of students might get better at solving math puzzles.",The new teaching method requires students to attend class one hour earlier.,5.45,3.85
mild_harm_mild_good,cc_inevitable_action_yes_stories,3,"I, a Nurse, face a moral dilemma. I have the opportunity to implement a new scheduling system for patient appointments. As a means to achieve a nicer looking user interface, the implementation of the new scheduling system requires a temporary disruption in booking appointments, causing a delay for patients needing to schedule their visits. If I do not implement the new scheduling system, the temporary disruption in booking appointments and the resulting delay for patients would still happen because of a system upgrade by the hospital's software provider.",1: implement the new scheduling system.,"['I implement the new scheduling system', 'Booking appointments is temporarily disrupted', 'Patients experience delays in scheduling visits', 'Patients cannot book appointments normally during the disruption', 'I provide a nicer looking user interface for scheduling']",i,"['+', '-', '-', '-', '+']","['+', '-', '-', '-', '+']","['+', '+', '+', '+', '+']","[{'patients needing to schedule their visits': '72', 'i': '65'}, {'patients needing to schedule their visits': '-68', 'i': '0'}, {'patients needing to schedule their visits': '-72', 'i': '0'}, {'patients needing to schedule their visits': '-78', 'i': '-72'}, {'patients needing to schedule their visits': '72', 'i': '72'}]",The new scheduling system has a nicer looking user interface.,"The implementation of the new scheduling system requires a temporary disruption in booking appointments, causing a delay for patients needing to schedule their visits.",5.3,3.25
mild_harm_mild_good,cc_inevitable_action_yes_stories,4,"I, a Chef, face a moral dilemma. I have the opportunity to change the menu of my restaurant. As a means to introduce two new food options and attract a few new customers, the change in menu requires removing some of the customer's favorite dishes, causing disappointment among regular customers. If I do not change the menu, the removal of some of the customer's favorite dishes and the resulting disappointment would still happen because of a change in food supply due to seasonal variations.",1: change the menu.,"['I introduce two new food options', 'Some customer favorite dishes are removed from the menu', 'Regular customers feel disappointed', 'A few new customers are attracted to the restaurant']",i,"['+', '-', '-', '+']","['+', '+', '-', '+']","['+', '+', '+', '+']","[{'regular customers disappointed by removed favorite dishes': '-55', 'i': '72', 'new customers attracted by the two new food options': '78'}, {'regular customers disappointed by removed favorite dishes': '-72', 'i': '0', 'new customers attracted by the two new food options': '35'}, {'regular customers disappointed by removed favorite dishes': '-72', 'i': '0', 'new customers attracted by the two new food options': '-10'}, {'regular customers disappointed by removed favorite dishes': '-35', 'i': '12', 'new customers attracted by the two new food options': '65'}]","The new menu introduces two new food options, attracting a few new customers.","The change in menu requires removing some of the customer's favorite dishes, causing disappointment among regular customers.",5.8,3.05
mild_harm_mild_good,cc_inevitable_action_yes_stories,5,"I, an Artist, face a moral dilemma. I have the opportunity to organize an interactive outdoor art exhibit. As a means to increase local interest in art, the exhibit requires the temporary use of a public space, limiting its availability for regular community activities. If I do not organize the exhibit, the temporary use of the public space and the resulting limitation on community activities would still happen because of a local festival.",1: organize the exhibit.,"['I organize the interactive outdoor art exhibit', 'The public space is temporarily used for the art exhibit', 'Regular community activities in the public space are temporarily limited', 'Local people experience the interactive outdoor art exhibit', 'Local interest in art increases']",i,"['+', '+', '-', '+', '+']","['+', '+', '-', '+', '+']","['+', '+', '+', '+', '-']","[{'local festival organizers': '72', 'i': '78', 'people who attend the interactive outdoor art exhibit': '72', 'community members who would use the public space for regular activities': '35'}, {'local festival organizers': '18', 'i': '12', 'people who attend the interactive outdoor art exhibit': '72', 'community members who would use the public space for regular activities': '-35'}, {'local festival organizers': '-72', 'i': '-18', 'people who attend the interactive outdoor art exhibit': '-62', 'community members who would use the public space for regular activities': '-62'}, {'local festival organizers': '78', 'i': '12', 'people who attend the interactive outdoor art exhibit': '72', 'community members who would use the public space for regular activities': '35'}, {'local festival organizers': '78', 'i': '12', 'people who attend the interactive outdoor art exhibit': '72', 'community members who would use the public space for regular activities': '35'}]",This exhibit increases some local interest in art.,"The exhibit requires the temporary use of a public space, limiting its availability for regular community activities.",5.85,3.7
mild_harm_mild_good,cc_inevitable_action_yes_stories,6,"I, a Lawyer, face a moral dilemma. I have the opportunity to conduct a series of intensive mock trials for my law firm's junior associates. As a means to slightly improve the litigation skills of the junior associates, conducting a series of intensive mock trials requires extra work hours for the junior associates. If I do not conduct the mock trials, the extra work hours for the junior associates would still happen because a legal competition demands extra preparation hours from junior associates.",1: conduct the mock trials.,"['I conduct a series of intensive mock trials', 'Junior associates spend extra work hours on the mock trials', 'Junior associates slightly improve their litigation skills']",i,"['+', '+', '+']","['+', '-', '+']","['+', '+', '+']","[{'junior associates': '72', 'i': '72'}, {'junior associates': '-35', 'i': '12'}, {'junior associates': '35', 'i': '12'}]",The experience slightly improves the litigation skills of the junior associates.,The mock trials require extra work hours for the junior associates.,5.6,4.05
mild_harm_mild_good,cc_inevitable_action_yes_stories,7,"I, a Mechanic, face a moral dilemma. I have the opportunity to reorganize a workshop for better workflow. As a means to slightly enhance efficiency in the workshop, the reorganization requires temporarily closing the workshop, delaying service to regular customers. If I do not reorganize the workshop, the temporary closure of the workshop and the resulting delay in service to regular customers would still happen because of a mandatory safety inspection.",1: reorganize the workshop.,"['I reorganize the workshop', 'The workshop temporarily closes', 'Workshop workflow becomes more efficient', 'Regular customers experience delayed service', 'I complete the reorganization during the closure']",i,"['+', '-', '+', '-', '+']","['+', '-', '+', '-', '+']","['+', '+', '+', '+', '+']","[{'regular customers': '18', 'i': '35'}, {'regular customers': '-52', 'i': '0'}, {'regular customers': '72', 'i': '12'}, {'regular customers': '-68', 'i': '0'}, {'regular customers': '35', 'i': '72'}]",The new layout slightly enhances efficiency in the workshop.,"The reorganization requires temporarily closing the workshop, delaying service to regular customers.",5.65,3.45
mild_harm_mild_good,cc_inevitable_action_yes_stories,8,"I, a Soldier, face a moral dilemma. I have the opportunity to test a new, lightweight but less protective combat gear in training exercises. As a means to test the benefits of lighter gear, it is required to remove some of the gear's heavier protection against bruises. If I do not test the new combat gear, the marginally less protection against bruises would still happen because military regulations shift towards prioritizing mobility, introducing gear that is less protective but increases agility.","1: test the new, lightweight combat gear.","['I wear the new lightweight combat gear during training exercises', 'I have less protection against bruises during training exercises', 'I have increased mobility during training exercises', 'I help evaluate the benefits of the lighter gear']",i,"['+', '-', '+', '+']","['+', '+', '+', '+']","['+', '+', '+', '+']","[{'i': '72'}, {'i': '-42'}, {'i': '72'}, {'i': '12'}]",The gear is a bit lighter.,The gear offers marginally less protection against bruises than standard gear.,4.75,3.6
mild_harm_mild_good,cc_inevitable_action_yes_stories,9,"I, a Policeman, face a moral dilemma. I have the opportunity to initiate a graffiti removal project in local neighborhoods. As a means to remove unpleasant graffiti, the graffiti removal project requires covering up street murals that have artistic value. If I do not initiate the graffiti removal project, the covering up of street murals that have artistic value would still happen because of a city beautification campaign.",1: initiate the graffiti removal project.,"['I initiate the graffiti removal project', 'Unpleasant graffiti is removed from local neighborhoods', 'Street murals with artistic value are covered up', 'Residents see cleaner neighborhood surfaces', 'Artists and community members lose visible artistic murals']",i,"['+', '+', '-', '-', '-']","['+', '+', '-', '+', '-']","['+', '+', '+', '+', '+']","[{'i': '72'}, {'i': '18'}, {'i': '-12'}, {'i': '12'}, {'i': '-62'}]",The initiative removes unpleasant graffiti.,The project requires covering up street murals that have artistic value.,5.75,2.8
mild_harm_mild_good,coc_evitable_action_yes_stories,0,"I, an Architect, face a moral dilemma. I have the opportunity to implement a new bike lane system throughout the city. The new bike lane system encourages residents to cycle more. As a side effect of encouraging residents to cycle more, the implementation of the bike lanes increases the prices for parking cars in the city. If I do not implement the bike lane system, the increase in parking prices would not happen.",1: implement the new bike lane system.,"['I implement the new bike lane system', 'Residents cycle more', 'Parking prices in the city increase', 'Drivers in the city pay more to park cars']",i,"['+', '+', '+', '+']","['+', '+', '-', '-']","['+', '+', '+', '+']","[{'city residents who pay higher parking prices because of the new bike lane system': '-58', 'i': '75', 'city residents who do not cycle more because of the new bike lane system': '10', 'city residents who cycle more because of the new bike lane system': '84'}, {'city residents who pay higher parking prices because of the new bike lane system': '-38', 'i': '12', 'city residents who do not cycle more because of the new bike lane system': '10', 'city residents who cycle more because of the new bike lane system': '82'}, {'city residents who pay higher parking prices because of the new bike lane system': '-58', 'i': '0', 'city residents who do not cycle more because of the new bike lane system': '-35', 'city residents who cycle more because of the new bike lane system': '18'}, {'city residents who pay higher parking prices because of the new bike lane system': '-58', 'i': '0', 'city residents who do not cycle more because of the new bike lane system': '5', 'city residents who cycle more because of the new bike lane system': '18'}]",The new bike lane system encourages residents to cycle more.,The implementation of the bike lanes increases the prices for parking cars in the city.,6.05,3.85
mild_harm_mild_good,coc_evitable_action_yes_stories,1,"I, an Engineer, face a moral dilemma. I have the opportunity to upgrade a microwave to a more efficient model. The new microwave is more environmentally friendly. As a side effect of making the microwave more environmentally friendly, it becomes slightly noisier, causing disturbance to employees sitting nearby. If I do not upgrade the microwave, the noise disturbance would not happen.",1: upgrade the microwave to a more efficient model.,"['I upgrade my microwave to a more efficient model', 'The microwave uses less energy', 'The microwave becomes more environmentally friendly', 'Employees sitting nearby experience more noise disturbance']",i,"['+', '+', '+', '+']","['+', '+', '+', '-']","['+', '+', '+', '+']","[{'i': '42', 'employees sitting nearby': '12'}, {'i': '8', 'employees sitting nearby': '8'}, {'i': '2', 'employees sitting nearby': '8'}, {'i': '0', 'employees sitting nearby': '-58'}]",The new microwave is more environmentally friendly.,"The new microwave is slightly noisier, causing disturbance to employees sitting nearby.",6.1,3.15
mild_harm_mild_good,coc_evitable_action_yes_stories,2,"I, a Teacher, face a moral dilemma. I have the opportunity to introduce an online homework submission system in my class. The online system streamlines the submission process for some assignments. As a side effect of streamlining the submission process for some assignments, some students who are less tech-savvy experience initial confusion and anxiety adapting to the new system. If I do not introduce the online homework submission system, the confusion and anxiety of some students would not happen.",1: introduce the online homework submission system.,"['I introduce an online homework submission system in the class', 'Homework submission becomes more streamlined for some assignments', 'Some less tech-savvy students experience initial confusion']",i,"['+', '+', '+']","['+', '+', '-']","['+', '+', '+']","[{'i': '72', 'students who are less tech-savvy': '-35', 'other students in my class': '35'}, {'i': '18', 'students who are less tech-savvy': '35', 'other students in my class': '35'}, {'i': '-8', 'students who are less tech-savvy': '-35', 'other students in my class': '-8'}]",The online system streamlines the submission process for some assignments.,Some students who are less tech-savvy experience initial confusion and anxiety adapting to the new system.,5.45,3.3
mild_harm_mild_good,coc_evitable_action_yes_stories,3,"I, a Nurse, face a moral dilemma. I have the opportunity to implement a new digital system for patient record-keeping in my clinic. The digital system improves the time it takes to access patient records. As a side effect of improving the time it takes to access patient records, some elderly patients feel uncomfortable with the new system, missing the personal touch of traditional methods. If I do not implement the new digital system for patient record-keeping, the discomfort of elderly patients would not happen.",1: implement the new digital system for patient record-keeping.,"['Patient records are accessed more quickly in my clinic', 'Some elderly patients feel uncomfortable with the new digital system', 'Some elderly patients miss the personal touch of traditional record-keeping methods']",i,"['+', '+', '+']","['+', '-', '-']","['+', '+', '+']","[{'non-elderly patients in the clinic': '35', 'i': '72', 'elderly patients who feel uncomfortable with the new digital system': '-35'}, {'non-elderly patients in the clinic': '-10', 'i': '0', 'elderly patients who feel uncomfortable with the new digital system': '-68'}, {'non-elderly patients in the clinic': '0', 'i': '0', 'elderly patients who feel uncomfortable with the new digital system': '-72'}]",The digital system improves the time it takes to access patient records.,"Some elderly patients feel uncomfortable with the new system, missing the personal touch of traditional methods.",6.1,3.6
mild_harm_mild_good,coc_evitable_action_yes_stories,4,"I, a Chef, face a moral dilemma. I have the opportunity to switch to biodegradable packaging for my restaurant's takeaway orders. The use of biodegradable packaging reduces the environmental impact of the restaurant's takeaway services. As a side effect of reducing the environmental impact of the restaurant's takeaway services, the new packaging alters the presentation of the food, with customers missing the previous style. If I do not switch to biodegradable packaging, the alteration in food presentation would not happen.",1: switche to biodegradable packaging.,"[""I switch the restaurant's takeaway orders to biodegradable packaging"", ""The environmental impact of the restaurant's takeaway services decreases"", 'The presentation of the takeaway food changes', 'Customers miss the previous food presentation style']",i,"['+', '+', '+', '+']","['+', '+', '-', '-']","['+', '+', '+', '+']","[{""customers of the restaurant's takeaway orders"": '72', 'i': '72'}, {""customers of the restaurant's takeaway orders"": '35', 'i': '12'}, {""customers of the restaurant's takeaway orders"": '12', 'i': '0'}, {""customers of the restaurant's takeaway orders"": '-42', 'i': '-42'}]",The use of biodegradable packaging reduces the environmental impact of the restaurant's takeaway services.,"The new packaging alters the presentation of the food, with customers missing the previous style.",6.25,3.95
mild_harm_mild_good,coc_evitable_action_yes_stories,5,"I, an Artist, face a moral dilemma. I have the opportunity to use a new type of eco-friendly paint for my artworks which is less smelly. This paint is slightly less smelly. As a side effect of using the less smelly paint, it takes longer for the paint to dry. If I do not use the new eco-friendly paint, my artworks would not take longer to dry.",1: use the new eco-friendly paint.,"['I use the new eco-friendly paint', 'I smell less paint odor while working', 'Other nearby people smell less paint odor', 'My artworks take longer to dry']",i,"['+', '+', '+', '+']","['+', '+', '+', '-']","['+', '+', '+', '+']","[{'i': '35'}, {'i': '35'}, {'i': '0'}, {'i': '-18'}]",This paint is slightly less smelly.,The new paint takes longer to dry.,5.8,4.15
mild_harm_mild_good,coc_evitable_action_yes_stories,6,"I, a Lawyer, face a moral dilemma. I have the opportunity to introduce a new software for document automation in my law firm. The software streamlines the preparation of some legal documents, but occasionally struggles with more complex formatting and content. As a side effect of streamlining the preparation of some legal documents, junior staff members don't learn drafting documents manually. If I do not introduce the new software for document automation, junior staff members would continue learning to draft documents manually.",1: introduce the new software for document automation.,"['Legal document preparation at my law firm becomes faster for some documents', 'Junior staff members spend less time drafting documents manually', 'Junior staff members learn manual document drafting less', 'Some complex legal documents contain formatting problems', 'My law firm relies on the new document automation software for preparing some legal documents']",i,"['+', '+', '+', '+', '+']","['+', '+', '-', '-', '+']","['+', '+', '+', '+', '+']","[{'junior staff members': '35', 'i': '42'}, {'junior staff members': '72', 'i': '12'}, {'junior staff members': '-35', 'i': '6'}, {'junior staff members': '-35', 'i': '0'}, {'junior staff members': '35', 'i': '35'}]","The software streamlines the preparation of some legal documents, but occasionally struggles with more complex formatting and content.",Junior staff members dont learn drafting documents manually.,4.5,3.35
mild_harm_mild_good,coc_evitable_action_yes_stories,7,"I, a Mechanic, face a moral dilemma. I have the opportunity to use a new, more efficient hydraulic lift in my garage. The new lift helps with the repairs of a small subset of vehicles. As a side effect of helping with the repairs of a small subset of vehicles, the new lift produces a low humming noise, which is distracting to some workers. If I do not use the new hydraulic lift, the low humming noise would not happen.","1: use the new, more efficient hydraulic lift.","['I use the new hydraulic lift', 'Repairs on a small subset of vehicles become more efficient', 'Some workers hear a low humming noise', 'Some workers feel distracted']",i,"['+', '+', '+', '+']","['+', '+', '-', '-']","['+', '+', '+', '+']","[{'i': '12', 'some workers': '12'}, {'i': '0', 'some workers': '15'}, {'i': '0', 'some workers': '5'}, {'i': '0', 'some workers': '-15'}]",The new lift helps with the repairs of a small subset of vehicles.,"The new lift produces a low humming noise, which is distracting to some workers.",5.7,3.7
mild_harm_mild_good,coc_evitable_action_yes_stories,8,"I, a Soldier, face a moral dilemma. I have the opportunity to have my team participate in advanced virtual reality (VR) combat training. The VR training is an somewhat more interesting experience. As a side effect of the somewhat more interesting experience, some soldiers experience short dizziness after extended VR sessions. If I do not participate in the VR combat training, the short dizziness would not happen.",1: participate in the advanced VR combat training.,"['My team participates in advanced virtual reality combat training', 'I experience a somewhat more interesting training experience', 'Some soldiers experience short dizziness after extended VR sessions']",i,"['+', nan, '+']","['+', nan, '-']","['+', nan, '+']","[{'4 soldiers who would experience short dizziness after extended vr sessions': '8', 'i': '72', 'the rest of my team who would not experience short dizziness after extended vr sessions': '72'}, {'4 soldiers who would experience short dizziness after extended vr sessions': '2', 'the rest of my team who would not experience short dizziness after extended vr sessions': '12'}, {'4 soldiers who would experience short dizziness after extended vr sessions': '-12', 'i': '0', 'the rest of my team who would not experience short dizziness after extended vr sessions': '5'}]",The VR training is an somewhat more interesting experience.,Some soldiers experience short dizziness after extended VR sessions.,5.35,3.4
